ticker,date,open,high,low,close
SQL,2021-08-27,3.45,4.73,3.3,4.54
SQL,2021-08-30,4.8,5.8,4.32,5.51
SQL,2021-08-31,5.5,5.78,4.9,5.02
SQL,2021-09-01,4.81,4.84,4.4,4.5
SQL,2021-09-02,4.41,4.59,4.2,4.42
SQL,2021-09-03,4.29,4.29,4.05,4.14
SQL,2021-09-07,4.1,4.24,3.6,3.75
SQL,2021-09-08,3.68,4.22,3.55,4.04
SQL,2021-09-09,4.1,4.34,3.81,4.17
SQL,2021-09-10,4.15,4.36,3.86,3.91
SQL,2021-09-13,3.91,4.25,3.77,3.94
SQL,2021-09-14,4.05,4.18,3.88,3.95
SQL,2021-09-15,3.85,3.97,3.81,3.91
SQL,2021-09-16,3.83,3.942,3.74,3.79
SQL,2021-09-17,3.83,4.05,3.81,3.88
SQL,2021-09-20,3.78,3.93,3.7,3.79
SQL,2021-09-21,3.95,3.95,3.72,3.85
SQL,2021-09-22,3.87,3.905,3.66,3.79
SQL,2021-09-23,3.79,4.17,3.66,4.02
SQL,2021-09-24,4.09,4.25,3.92,4.01
SQL,2021-09-27,3.91,4.1,3.856,3.95
SQL,2021-09-28,3.87,3.89,3.72,3.81
SQL,2021-09-29,3.83,3.83,3.5,3.72
SQL,2021-09-30,3.7,3.71,3.53,3.64
SQL,2021-10-01,3.659,3.74,3.57,3.63
SQL,2021-10-04,3.59,3.63,3.39,3.57
SQL,2021-10-05,3.59,3.739,3.5,3.739
SQL,2021-10-06,3.74,3.8,3.53,3.66
SQL,2021-10-07,3.66,3.8,3.529,3.69
SQL,2021-10-08,3.65,3.665,3.51,3.6
SQL,2021-10-11,3.56,3.79,3.51,3.52
SQL,2021-10-12,3.51,3.66,3.35,3.6
SQL,2021-10-13,3.64,3.64,3.49,3.56
SQL,2021-10-14,3.59,3.79,3.52,3.545
SQL,2021-10-15,3.62,3.7,3.4,3.52
SQL,2021-10-18,3.53,3.64,3.45,3.6
SQL,2021-10-19,3.55,3.58,3.428,3.46
SQL,2021-10-20,3.44,3.6,3.43,3.6
SQL,2021-10-21,3.55,3.65,3.46,3.53
SQL,2021-10-22,3.5,3.69,3.45,3.56
SQL,2021-10-25,3.55,3.56,3.47,3.5
SQL,2021-10-26,3.7,5.1,3.62,3.92
SQL,2021-10-27,3.8,4.39,3.64,3.97
SQL,2021-10-28,3.98,4.1,3.63,3.83
SQL,2021-10-29,3.81,3.91,3.69,3.7
SQL,2021-11-01,3.72,3.85,3.45,3.45
SQL,2021-11-02,3.5,3.63,3.43,3.535
SQL,2021-11-03,3.54,3.73,3.43,3.69
SQL,2021-11-04,3.66,3.76,3.52,3.7
SQL,2021-11-05,3.7,3.74,3.54,3.59
SQL,2021-11-08,3.57,3.73,3.53,3.69
SQL,2021-11-09,3.69,4.06,3.67,3.97
SQL,2021-11-10,3.91,4.03,3.6,3.7
SQL,2021-11-11,3.67,3.82,3.63,3.63
SQL,2021-11-12,3.66,3.77,3.63,3.77
SQL,2021-11-15,3.79,4.2,3.73,3.9
SQL,2021-11-16,3.79,3.88,3.631,3.85
SQL,2021-11-17,3.75,3.82,3.65,3.72
SQL,2021-11-18,3.7,3.73,3.04,3.07
SQL,2021-11-19,3.07,3.19,2.89,2.89
SQL,2021-11-22,2.84,2.87,2.4,2.45
SQL,2021-11-23,2.44,2.628,2.41,2.48
SQL,2021-11-24,2.52,2.89,2.51,2.72
SQL,2021-11-26,2.66,2.88,2.641,2.84
SQL,2021-11-29,2.9,2.93,2.71,2.74
SQL,2021-11-30,2.79,2.83,2.45,2.64
SQL,2021-12-01,2.6,2.69,2.518,2.52
SQL,2021-12-02,2.47,2.52,2.27,2.31
SQL,2021-12-03,2.39,2.46,2.3,2.38
SQL,2021-12-06,2.4,2.52,2.2,2.52
SQL,2021-12-07,2.54,2.7,2.49,2.59
SQL,2021-12-08,2.57,2.719,2.49,2.66
SQL,2021-12-09,2.75,2.75,2.56,2.64
SQL,2021-12-10,2.59,2.63,2.31,2.43
SQL,2021-12-13,2.44,2.52,2.38,2.47
