ticker,date,open,high,low,close
STRR,2004-06-10,120.2,130.0,113.2,117.7
STRR,2004-06-14,118.0,119.0,114.0,114.5
STRR,2004-06-15,117.5,117.5,103.5,103.7
STRR,2004-06-16,103.0,105.5,97.0,97.0
STRR,2004-06-17,99.0,99.0,96.5,97.2
STRR,2004-06-18,99.0,99.0,95.0,95.0
STRR,2004-06-21,95.0,96.5,90.9,92.3
STRR,2004-06-22,91.0,99.5,91.0,98.8
STRR,2004-06-23,99.5,99.6,97.0,99.4
STRR,2004-06-24,98.2,100.0,97.5,100.0
STRR,2004-06-25,99.0,101.0,98.4,100.0
STRR,2004-06-28,100.0,100.0,99.5,99.5
STRR,2004-06-29,100.0,100.2,99.5,100.0
STRR,2004-06-30,99.8,104.8,99.0,100.3
STRR,2004-07-01,100.0,101.5,99.0,99.9
STRR,2004-07-02,100.0,100.0,96.0,96.0
STRR,2004-07-06,95.5,97.9,93.2,93.2
STRR,2004-07-07,92.5,95.9,90.7,91.0
STRR,2004-07-08,90.5,92.9,88.5,90.0
STRR,2004-07-09,88.5,90.0,88.5,90.0
STRR,2004-07-12,90.5,91.5,90.0,91.5
STRR,2004-07-13,90.5,91.0,90.5,91.0
STRR,2004-07-14,91.9,91.9,90.0,90.0
STRR,2004-07-15,90.1,90.9,90.1,90.5
STRR,2004-07-16,90.5,91.4,90.5,91.0
STRR,2004-07-19,90.5,90.5,90.0,90.0
STRR,2004-07-20,91.7,96.5,91.7,95.0
STRR,2004-07-21,92.9,95.5,92.9,95.0
STRR,2004-07-22,95.0,95.0,90.4,93.5
STRR,2004-07-23,90.0,94.3,90.0,93.3
STRR,2004-07-26,90.1,93.5,90.0,92.4
STRR,2004-07-27,91.5,92.4,91.5,91.5
STRR,2004-07-28,91.0,92.5,90.0,90.1
STRR,2004-07-29,91.0,91.2,90.0,90.5
STRR,2004-07-30,91.0,91.8,90.0,91.0
STRR,2004-08-02,92.0,92.5,89.0,89.5
STRR,2004-08-03,90.0,91.5,88.5,91.0
STRR,2004-08-04,90.5,90.5,87.0,90.0
STRR,2004-08-05,90.0,90.0,88.3,90.0
STRR,2004-08-06,87.0,89.0,83.0,87.5
STRR,2004-08-09,87.5,87.5,85.0,85.0
STRR,2004-08-10,86.5,86.5,82.5,82.9
STRR,2004-08-11,82.5,82.5,80.0,80.0
STRR,2004-08-12,80.0,80.1,79.0,79.0
STRR,2004-08-13,78.9,78.9,76.5,78.5
STRR,2004-08-16,81.0,86.5,81.0,82.3
STRR,2004-08-17,81.0,85.0,81.0,85.0
STRR,2004-08-18,84.5,87.9,84.5,87.5
STRR,2004-08-19,87.7,87.7,86.1,86.8
STRR,2004-08-20,87.0,88.5,86.3,88.0
STRR,2004-08-23,90.0,90.0,83.5,83.7
STRR,2004-08-24,85.0,85.5,84.0,85.5
STRR,2004-08-25,87.5,88.0,83.7,84.0
STRR,2004-08-26,90.0,90.0,86.5,89.8
STRR,2004-08-27,90.3,90.3,89.0,89.3
STRR,2004-08-30,84.0,90.3,84.0,89.8
STRR,2004-08-31,90.0,92.4,89.0,91.5
STRR,2004-09-01,92.6,98.6,92.6,97.6
STRR,2004-09-02,99.0,103.0,97.4,97.5
STRR,2004-09-03,99.4,100.0,95.0,100.0
STRR,2004-09-07,99.5,99.5,97.5,98.4
STRR,2004-09-08,97.5,98.5,96.3,97.0
STRR,2004-09-09,99.0,99.0,91.6,97.0
STRR,2004-09-10,95.6,98.0,95.6,97.2
STRR,2004-09-13,97.5,103.9,97.5,101.6
STRR,2004-09-14,103.4,105.8,101.5,105.8
STRR,2004-09-15,105.9,110.0,104.0,106.8
STRR,2004-09-16,105.0,108.0,105.0,107.7
STRR,2004-09-17,107.7,109.5,105.4,108.9
STRR,2004-09-20,109.5,110.0,101.2,101.6
STRR,2004-09-21,103.6,105.0,101.0,104.9
STRR,2004-09-22,106.1,106.1,102.6,103.5
STRR,2004-09-23,102.6,102.6,99.5,100.4
STRR,2004-09-24,100.0,100.6,99.5,100.6
STRR,2004-09-27,99.5,105.0,99.5,104.0
STRR,2004-09-28,102.0,104.2,102.0,104.0
STRR,2004-09-29,104.5,105.0,99.6,100.5
STRR,2004-09-30,100.5,104.5,100.1,104.3
STRR,2004-10-01,103.5,108.0,103.5,107.7
STRR,2004-10-04,108.0,113.9,107.0,108.1
STRR,2004-10-05,109.5,109.5,100.0,108.0
STRR,2004-10-06,108.2,112.5,108.1,110.0
STRR,2004-10-07,110.0,111.1,107.2,108.0
STRR,2004-10-08,110.5,110.5,104.7,108.5
STRR,2004-10-11,108.5,110.0,108.5,110.0
STRR,2004-10-12,107.7,113.2,107.7,111.2
STRR,2004-10-13,110.9,111.0,108.3,110.5
STRR,2004-10-14,113.4,114.4,108.0,108.0
STRR,2004-10-15,110.0,110.0,108.0,108.0
STRR,2004-10-18,110.8,111.0,106.5,106.5
STRR,2004-10-19,106.5,106.7,105.0,105.1
STRR,2004-10-20,109.9,109.9,105.0,105.0
STRR,2004-10-21,107.5,108.7,104.5,105.0
STRR,2004-10-22,104.0,110.0,104.0,108.0
STRR,2004-10-25,107.5,109.4,105.0,105.0
STRR,2004-10-26,105.0,105.8,101.0,105.8
STRR,2004-10-27,101.1,105.0,99.2,99.5
STRR,2004-10-28,99.5,106.0,99.0,101.0
STRR,2004-10-29,106.0,106.2,99.9,100.7
STRR,2004-11-01,100.9,104.7,100.0,100.0
STRR,2004-11-02,99.9,103.0,97.4,99.0
STRR,2004-11-03,97.5,99.1,86.5,90.8
STRR,2004-11-04,88.0,90.8,86.5,87.0
STRR,2004-11-05,86.5,86.5,80.0,80.0
STRR,2004-11-08,84.9,84.9,71.7,73.5
