ticker,date,open,high,low,close
STTK,2020-10-09,22.0,22.9,17.51,19.35
STTK,2020-10-12,18.61,19.9,18.55,19.0
STTK,2020-10-13,19.15,20.14,18.51,20.04
STTK,2020-10-14,19.74,20.49,19.02,19.2
STTK,2020-10-15,19.42,19.715,19.02,19.54
STTK,2020-10-16,19.81,20.27,19.5,20.0
STTK,2020-10-19,20.0,20.49,19.8,20.34
STTK,2020-10-20,20.49,21.16,20.318,21.05
STTK,2020-10-21,21.05,22.165,21.05,22.05
STTK,2020-10-22,21.79,21.95,21.4,21.76
STTK,2020-10-23,21.68,22.29,21.17,21.76
STTK,2020-10-26,21.58,23.98,21.224,23.78
STTK,2020-10-27,23.69,25.72,23.45,24.95
STTK,2020-10-28,23.78,25.57,23.78,25.19
STTK,2020-10-29,25.39,25.478,24.4,24.85
STTK,2020-10-30,24.11,25.89,23.97,25.85
STTK,2020-11-02,25.92,27.245,24.77,26.87
STTK,2020-11-03,26.86,28.58,26.86,27.98
STTK,2020-11-04,28.0,29.61,28.0,28.44
STTK,2020-11-05,28.62,29.465,27.91,27.96
STTK,2020-11-06,27.74,28.2,25.96,26.81
STTK,2020-11-09,26.89,27.745,21.8,23.46
STTK,2020-11-10,23.25,24.77,22.38,23.06
STTK,2020-11-11,23.13,27.99,23.13,26.1
STTK,2020-11-12,26.0,28.92,25.375,28.74
STTK,2020-11-13,28.39,30.45,27.21,29.59
STTK,2020-11-16,30.0,33.5,29.46,31.81
STTK,2020-11-17,31.92,34.43,30.739,32.26
STTK,2020-11-18,32.31,34.0,30.15,30.15
STTK,2020-11-19,30.42,31.9,29.68,30.16
STTK,2020-11-20,30.79,33.103,29.72,32.58
STTK,2020-11-23,32.89,35.38,31.01,35.0
STTK,2020-11-24,35.0,35.815,33.4,34.53
STTK,2020-11-25,34.62,35.91,33.63,35.43
STTK,2020-11-27,35.78,36.97,33.235,34.48
STTK,2020-11-30,34.62,37.05,31.275,36.16
STTK,2020-12-01,36.36,39.03,32.14,32.48
STTK,2020-12-02,32.15,35.12,28.38,29.62
STTK,2020-12-03,29.25,33.77,29.201,31.1
STTK,2020-12-04,31.6,34.0,30.25,33.0
STTK,2020-12-07,33.23,34.67,30.114,32.32
STTK,2020-12-08,31.545,32.91,29.365,32.39
STTK,2020-12-09,32.24,34.86,30.8,33.79
STTK,2020-12-10,33.76,41.07,33.76,40.41
STTK,2020-12-11,40.13,41.49,37.79,40.3
STTK,2020-12-14,40.82,41.82,34.8,35.08
STTK,2020-12-15,35.34,35.595,33.19,35.48
STTK,2020-12-16,35.15,37.76,35.15,36.65
STTK,2020-12-17,37.51,38.655,36.41,37.29
STTK,2020-12-18,37.12,42.91,36.3,40.72
STTK,2020-12-21,39.53,46.64,38.59,45.42
STTK,2020-12-22,45.42,53.91,45.42,53.02
STTK,2020-12-23,52.68,56.59,50.55,55.94
STTK,2020-12-24,54.3,60.516,53.525,57.61
STTK,2020-12-28,58.0,58.49,53.205,55.84
STTK,2020-12-29,55.61,55.61,49.54,50.12
STTK,2020-12-30,49.91,54.09,49.91,53.0
STTK,2020-12-31,52.98,53.5,48.99,52.41
STTK,2021-01-04,52.4,52.727,44.47,45.05
STTK,2021-01-05,44.88,44.88,40.445,42.72
STTK,2021-01-06,41.9,44.4,40.29,43.11
STTK,2021-01-07,43.0,43.325,40.55,42.95
STTK,2021-01-08,42.45,42.8,38.5,40.62
