ticker,date,open,high,low,close
SVC,1995-08-17,25.0,25.25,25.0,25.12
SVC,1995-08-18,25.12,25.25,25.0,25.0
SVC,1995-08-21,25.0,25.12,25.0,25.0
SVC,1995-08-22,25.0,25.12,25.0,25.0
SVC,1995-08-23,25.0,25.12,25.0,25.0
SVC,1995-08-24,25.0,25.12,25.0,25.12
SVC,1995-08-25,25.12,25.12,25.0,25.0
SVC,1995-08-28,25.0,25.12,25.0,25.0
SVC,1995-08-29,25.12,25.12,25.0,25.12
SVC,1995-08-30,25.0,25.12,25.0,25.12
SVC,1995-08-31,25.12,25.12,25.0,25.0
SVC,1995-09-01,25.0,25.12,25.0,25.0
SVC,1995-09-05,25.0,25.12,25.0,25.0
SVC,1995-09-06,25.0,25.12,25.0,25.0
SVC,1995-09-07,25.12,25.12,25.0,25.12
SVC,1995-09-08,25.0,25.12,25.0,25.0
SVC,1995-09-11,25.0,25.12,25.0,25.0
SVC,1995-09-12,25.0,25.12,25.0,25.0
SVC,1995-09-13,25.12,25.12,25.0,25.0
SVC,1995-09-14,25.0,25.12,24.5,24.62
SVC,1995-09-15,24.5,24.88,24.5,24.88
SVC,1995-09-18,24.88,25.25,24.88,25.25
SVC,1995-09-19,25.25,25.25,25.0,25.25
SVC,1995-09-20,25.0,25.25,25.0,25.12
SVC,1995-09-21,25.12,25.25,25.12,25.12
SVC,1995-09-22,25.12,25.25,25.0,25.0
SVC,1995-09-25,25.75,25.88,25.38,25.62
SVC,1995-09-26,26.5,26.5,25.62,26.0
SVC,1995-09-27,26.25,26.25,25.88,26.12
SVC,1995-09-28,26.25,26.38,26.0,26.38
SVC,1995-09-29,26.38,27.0,26.12,26.25
SVC,1995-10-02,26.38,26.5,26.0,26.38
SVC,1995-10-03,26.25,26.5,26.12,26.38
SVC,1995-10-04,26.5,26.62,26.25,26.25
SVC,1995-10-05,26.38,26.38,26.25,26.38
SVC,1995-10-06,26.25,26.38,26.0,26.25
SVC,1995-10-09,26.5,26.5,26.12,26.25
SVC,1995-10-10,26.12,26.25,26.0,26.0
SVC,1995-10-11,26.12,26.25,25.88,26.0
SVC,1995-10-12,26.12,26.25,26.0,26.12
SVC,1995-10-13,26.12,26.25,26.0,26.0
SVC,1995-10-16,26.0,26.38,26.0,26.25
SVC,1995-10-17,26.25,26.25,26.0,26.25
SVC,1995-10-18,26.25,26.25,26.0,26.0
SVC,1995-10-19,26.12,26.12,25.88,26.0
SVC,1995-10-20,26.0,26.12,25.88,26.12
SVC,1995-10-23,26.25,26.25,26.0,26.0
SVC,1995-10-24,26.12,26.25,25.88,26.0
SVC,1995-10-25,26.12,26.5,26.0,26.25
SVC,1995-10-26,26.38,26.38,26.0,26.25
SVC,1995-10-27,26.25,26.38,25.88,26.12
SVC,1995-10-30,26.25,26.38,26.0,26.25
SVC,1995-10-31,26.25,26.38,26.0,26.25
SVC,1995-11-01,26.12,26.25,26.0,26.12
SVC,1995-11-02,26.12,26.25,26.12,26.12
SVC,1995-11-03,26.25,26.38,26.0,26.25
SVC,1995-11-06,26.25,26.25,25.88,25.88
SVC,1995-11-07,26.0,26.12,25.88,26.12
SVC,1995-11-08,26.12,26.25,26.0,26.0
SVC,1995-11-09,25.88,26.0,25.62,25.88
SVC,1995-11-10,25.88,25.88,25.75,25.88
SVC,1995-11-13,26.0,26.0,25.62,25.62
SVC,1995-11-14,25.75,25.88,25.5,25.88
SVC,1995-11-15,25.88,25.88,25.62,25.75
SVC,1995-11-16,25.88,25.88,25.62,25.62
SVC,1995-11-17,25.75,26.0,25.62,25.75
SVC,1995-11-20,25.88,25.88,25.5,25.5
SVC,1995-11-21,25.62,25.62,25.25,25.62
SVC,1995-11-22,25.62,25.62,25.25,25.25
SVC,1995-11-24,25.25,25.75,25.25,25.62
SVC,1995-11-27,26.0,26.0,25.38,25.5
SVC,1995-11-28,25.5,25.62,25.38,25.38
SVC,1995-11-29,25.5,26.0,25.5,25.88
SVC,1995-11-30,26.0,26.25,25.88,26.12
SVC,1995-12-01,26.0,26.12,25.5,25.62
SVC,1995-12-04,25.75,25.88,25.5,25.62
SVC,1995-12-05,25.75,25.75,25.62,25.75
SVC,1995-12-06,25.88,26.12,25.75,26.12
SVC,1995-12-07,26.38,26.62,26.12,26.62
SVC,1995-12-08,26.5,26.5,25.88,26.0
SVC,1995-12-11,25.88,26.0,25.62,25.88
SVC,1995-12-12,25.88,25.88,25.38,25.38
SVC,1995-12-13,25.38,25.5,25.12,25.38
SVC,1995-12-14,25.25,25.62,25.12,25.38
SVC,1995-12-15,25.38,25.38,25.12,25.25
SVC,1995-12-18,25.25,25.25,25.0,25.12
SVC,1995-12-19,25.25,25.5,25.12,25.12
SVC,1995-12-20,24.75,24.75,24.38,24.75
SVC,1995-12-21,24.75,25.25,24.62,24.88
SVC,1995-12-22,25.12,25.25,25.0,25.25
SVC,1995-12-26,25.38,25.38,25.25,25.25
SVC,1995-12-27,25.62,26.5,25.62,26.25
SVC,1995-12-28,26.5,26.75,26.12,26.38
SVC,1995-12-29,26.62,26.75,26.25,26.75
SVC,1996-01-02,26.88,26.88,26.12,26.25
SVC,1996-01-03,26.25,26.25,26.0,26.12
SVC,1996-01-04,26.25,26.38,26.12,26.12
SVC,1996-01-05,26.25,26.25,25.88,26.0
SVC,1996-01-08,26.0,26.12,26.0,26.0
SVC,1996-01-09,26.0,26.0,25.88,25.88
SVC,1996-01-10,25.88,26.0,25.62,25.75
SVC,1996-01-11,26.0,26.0,25.75,26.0
SVC,1996-01-12,26.0,26.0,25.88,26.0
SVC,1996-01-15,26.0,26.0,25.5,25.62
SVC,1996-01-16,25.88,25.88,25.62,25.75
SVC,1996-01-17,25.88,26.0,25.62,26.0
SVC,1996-01-18,26.0,26.0,25.75,25.88
SVC,1996-01-19,26.0,26.25,25.62,26.25
SVC,1996-01-22,26.25,26.88,26.25,26.88
SVC,1996-01-23,26.75,26.75,26.38,26.38
SVC,1996-01-24,26.25,26.38,26.12,26.12
SVC,1996-01-25,26.0,26.25,26.0,26.12
SVC,1996-01-26,26.0,26.25,26.0,26.12
SVC,1996-01-29,26.25,26.25,25.88,26.0
SVC,1996-01-30,25.88,26.0,25.75,25.88
SVC,1996-01-31,26.0,26.25,25.88,26.25
SVC,1996-02-01,26.25,26.25,25.88,26.0
SVC,1996-02-02,25.88,26.25,25.88,26.0
SVC,1996-02-05,26.25,26.38,26.0,26.38
SVC,1996-02-06,26.75,27.0,26.5,26.88
SVC,1996-02-07,26.88,27.25,26.75,27.25
SVC,1996-02-08,27.25,27.38,26.75,26.88
SVC,1996-02-09,27.12,27.12,26.62,27.0
SVC,1996-02-12,27.0,27.5,26.88,27.38
SVC,1996-02-13,27.25,27.38,26.88,27.0
SVC,1996-02-14,27.12,27.12,26.75,26.75
SVC,1996-02-15,26.62,27.12,26.38,26.75
SVC,1996-02-16,26.88,26.88,26.62,26.88
SVC,1996-02-20,26.75,27.38,26.62,26.75
SVC,1996-02-21,26.75,27.0,26.62,27.0
SVC,1996-02-22,27.0,27.12,26.75,26.88
SVC,1996-02-23,26.62,27.0,26.5,26.88
SVC,1996-02-26,26.75,26.75,26.5,26.62
SVC,1996-02-27,26.75,27.12,26.38,27.0
SVC,1996-02-28,27.12,27.38,27.12,27.38
SVC,1996-02-29,27.5,27.88,27.38,27.75
SVC,1996-03-01,27.75,27.88,27.0,27.5
SVC,1996-03-04,27.75,27.88,27.12,27.5
SVC,1996-03-05,27.5,27.5,26.5,26.88
SVC,1996-03-06,27.12,27.25,26.75,27.12
SVC,1996-03-07,27.12,27.12,26.88,27.0
SVC,1996-03-08,27.0,27.12,26.62,26.75
SVC,1996-03-11,26.88,27.0,26.5,26.62
SVC,1996-03-12,26.75,27.25,26.75,27.25
SVC,1996-03-13,27.38,27.38,26.62,27.0
SVC,1996-03-14,27.0,27.38,26.75,27.0
SVC,1996-03-15,27.12,27.12,26.88,27.0
SVC,1996-03-18,27.0,27.0,26.75,26.75
SVC,1996-03-19,26.88,27.0,26.62,26.88
SVC,1996-03-20,26.75,27.0,26.75,26.75
SVC,1996-03-21,26.88,27.0,26.75,27.0
SVC,1996-03-22,27.0,27.0,26.75,27.0
SVC,1996-03-25,27.0,27.0,26.38,26.62
SVC,1996-03-26,26.62,26.88,26.5,26.75
SVC,1996-03-27,26.88,27.0,26.75,26.88
SVC,1996-03-28,27.0,27.0,26.5,26.5
SVC,1996-03-29,26.62,26.75,26.5,26.75
SVC,1996-04-01,27.0,27.0,26.62,26.62
SVC,1996-04-02,26.62,26.75,26.62,26.62
SVC,1996-04-03,26.62,26.75,26.62,26.62
SVC,1996-04-04,26.62,26.75,26.62,26.62
SVC,1996-04-08,26.62,26.75,26.38,26.38
SVC,1996-04-09,26.5,26.62,26.38,26.5
SVC,1996-04-10,26.5,26.62,26.0,26.0
SVC,1996-04-11,26.12,26.25,25.62,25.75
SVC,1996-04-12,25.75,26.38,25.75,26.38
SVC,1996-04-15,26.62,26.62,26.25,26.25
SVC,1996-04-16,26.25,26.38,26.0,26.25
SVC,1996-04-17,25.5,25.62,25.25,25.25
SVC,1996-04-18,25.5,25.5,25.12,25.25
SVC,1996-04-19,25.38,25.5,24.88,25.38
SVC,1996-04-22,25.62,25.62,25.38,25.5
SVC,1996-04-23,25.38,25.62,25.12,25.25
SVC,1996-04-24,25.5,25.5,25.12,25.12
SVC,1996-04-25,25.12,25.38,25.0,25.12
SVC,1996-04-26,25.38,25.5,25.12,25.38
SVC,1996-04-29,25.25,25.38,25.12,25.38
SVC,1996-04-30,25.38,25.5,25.25,25.38
SVC,1996-05-01,25.5,25.5,25.12,25.38
SVC,1996-05-02,25.38,25.38,24.62,25.12
SVC,1996-05-03,25.12,25.5,25.0,25.38
SVC,1996-05-06,25.25,25.5,25.12,25.38
SVC,1996-05-07,25.5,25.62,24.88,24.88
SVC,1996-05-08,25.0,25.0,24.75,24.75
SVC,1996-05-09,25.0,25.38,24.88,25.25
SVC,1996-05-10,25.38,25.62,25.25,25.5
SVC,1996-05-13,25.62,26.0,25.5,25.88
SVC,1996-05-14,26.0,26.12,25.75,25.75
SVC,1996-05-15,25.88,26.0,25.62,25.62
SVC,1996-05-16,25.75,25.88,25.5,25.62
SVC,1996-05-17,25.88,25.88,25.62,25.88
SVC,1996-05-20,25.88,25.88,25.62,25.75
SVC,1996-05-21,25.75,25.88,25.62,25.88
SVC,1996-05-22,26.0,26.12,25.75,26.0
SVC,1996-05-23,26.0,26.12,25.75,26.0
SVC,1996-05-24,26.0,26.12,25.88,25.88
SVC,1996-05-28,26.0,26.0,25.62,25.75
SVC,1996-05-29,25.75,25.88,25.62,25.75
SVC,1996-05-30,25.62,25.88,25.5,25.75
SVC,1996-05-31,25.88,26.0,25.5,26.0
SVC,1996-06-03,26.0,26.0,25.5,25.88
SVC,1996-06-04,25.75,25.88,25.25,25.62
SVC,1996-06-05,25.62,25.88,25.5,25.75
SVC,1996-06-06,25.75,26.0,25.62,25.88
SVC,1996-06-07,25.75,25.75,25.5,25.62
SVC,1996-06-10,25.75,25.88,25.62,25.88
SVC,1996-06-11,25.88,26.0,25.75,25.75
SVC,1996-06-12,25.75,25.88,25.62,25.88
SVC,1996-06-13,25.88,26.0,25.75,25.88
SVC,1996-06-14,26.0,26.12,25.88,26.12
SVC,1996-06-17,26.12,26.12,25.88,25.88
SVC,1996-06-18,25.75,26.12,25.75,26.0
SVC,1996-06-19,26.0,26.0,25.88,26.0
SVC,1996-06-20,26.0,26.12,25.88,26.12
SVC,1996-06-21,26.12,26.25,26.0,26.25
SVC,1996-06-24,26.25,26.25,26.0,26.25
SVC,1996-06-25,26.12,26.25,25.88,26.12
SVC,1996-06-26,26.25,26.38,26.0,26.38
SVC,1996-06-27,26.25,26.38,26.0,26.0
SVC,1996-06-28,26.25,26.75,26.0,26.75
SVC,1996-07-01,26.62,26.75,26.5,26.62
SVC,1996-07-02,26.5,26.75,26.38,26.75
SVC,1996-07-03,26.75,26.75,26.62,26.75
SVC,1996-07-05,26.5,26.5,26.25,26.5
SVC,1996-07-08,26.5,26.5,26.12,26.25
SVC,1996-07-09,26.25,26.5,26.12,26.12
SVC,1996-07-10,26.38,26.5,26.25,26.5
SVC,1996-07-11,26.5,26.75,26.38,26.75
SVC,1996-07-12,26.75,26.75,26.5,26.62
SVC,1996-07-15,26.5,26.62,26.12,26.25
SVC,1996-07-16,26.12,26.25,25.62,26.12
SVC,1996-07-17,26.12,26.25,26.0,26.25
SVC,1996-07-18,26.0,26.0,25.5,25.62
SVC,1996-07-19,25.62,25.75,25.5,25.75
SVC,1996-07-22,25.88,26.0,25.5,25.88
SVC,1996-07-23,25.88,26.0,25.62,25.75
SVC,1996-07-24,25.12,25.5,25.0,25.5
SVC,1996-07-25,25.38,25.62,25.25,25.5
SVC,1996-07-26,25.5,25.62,25.25,25.62
SVC,1996-07-29,25.62,26.0,25.5,26.0
SVC,1996-07-30,26.0,26.12,25.88,26.12
SVC,1996-07-31,26.25,26.38,26.12,26.38
SVC,1996-08-01,26.38,26.62,26.12,26.25
SVC,1996-08-02,26.25,26.38,26.12,26.12
SVC,1996-08-05,26.12,26.25,26.0,26.12
SVC,1996-08-06,26.12,26.38,26.0,26.38
SVC,1996-08-07,26.38,26.62,26.38,26.62
SVC,1996-08-08,26.62,26.62,26.38,26.62
SVC,1996-08-09,26.5,26.62,26.25,26.5
SVC,1996-08-12,26.5,26.62,26.38,26.62
SVC,1996-08-13,26.62,26.75,26.5,26.75
SVC,1996-08-14,26.75,26.88,26.5,26.88
SVC,1996-08-15,26.88,26.88,26.75,26.88
SVC,1996-08-16,26.75,26.88,26.62,26.88
SVC,1996-08-19,26.88,26.88,26.5,26.62
SVC,1996-08-20,26.62,26.75,26.5,26.75
SVC,1996-08-21,26.75,26.88,26.5,26.88
SVC,1996-08-22,26.88,26.88,26.5,26.62
SVC,1996-08-23,26.62,26.62,26.5,26.62
SVC,1996-08-26,26.62,26.62,26.38,26.62
SVC,1996-08-27,26.62,26.75,26.5,26.75
SVC,1996-08-28,26.88,26.88,26.75,26.75
SVC,1996-08-29,26.75,26.88,26.62,26.75
SVC,1996-08-30,26.75,26.75,26.5,26.75
SVC,1996-09-03,26.75,26.75,26.5,26.62
SVC,1996-09-04,26.75,26.75,26.38,26.62
SVC,1996-09-05,26.75,26.88,26.62,26.75
SVC,1996-09-06,26.75,26.88,26.5,26.62
SVC,1996-09-09,26.62,26.62,26.5,26.62
SVC,1996-09-10,26.62,26.75,26.5,26.75
SVC,1996-09-11,26.75,26.75,26.62,26.62
SVC,1996-09-12,26.75,26.75,26.62,26.62
SVC,1996-09-13,26.62,26.75,26.62,26.75
SVC,1996-09-16,26.75,26.75,26.5,26.62
SVC,1996-09-17,26.62,26.62,26.5,26.5
SVC,1996-09-18,26.62,26.62,26.5,26.5
SVC,1996-09-19,26.5,26.62,26.5,26.5
SVC,1996-09-20,26.5,26.75,26.5,26.62
SVC,1996-09-23,26.62,26.75,26.62,26.75
SVC,1996-09-24,26.75,26.75,26.5,26.75
SVC,1996-09-25,26.75,26.75,26.5,26.62
SVC,1996-09-26,26.62,26.75,26.62,26.62
SVC,1996-09-27,26.5,26.75,26.5,26.75
SVC,1996-09-30,26.75,26.75,26.62,26.75
SVC,1996-10-01,26.75,26.75,26.5,26.62
SVC,1996-10-02,26.62,26.62,26.5,26.62
SVC,1996-10-03,26.62,26.62,26.5,26.62
SVC,1996-10-04,26.62,26.75,26.5,26.62
SVC,1996-10-07,26.62,26.62,26.38,26.5
SVC,1996-10-08,26.62,26.62,26.5,26.5
SVC,1996-10-09,26.62,26.75,26.5,26.75
SVC,1996-10-10,26.62,26.75,26.5,26.75
SVC,1996-10-11,26.75,26.75,26.5,26.62
SVC,1996-10-14,26.62,26.62,26.5,26.62
SVC,1996-10-15,26.62,26.62,26.25,26.25
SVC,1996-10-16,26.5,26.62,26.25,26.62
SVC,1996-10-17,26.62,26.75,26.5,26.62
SVC,1996-10-18,26.12,26.38,26.0,26.25
SVC,1996-10-21,26.38,26.38,26.12,26.12
SVC,1996-10-22,26.25,26.38,26.0,26.12
SVC,1996-10-23,26.25,26.25,26.12,26.25
SVC,1996-10-24,26.25,26.25,25.75,25.88
SVC,1996-10-25,26.0,26.12,25.75,26.12
SVC,1996-10-28,26.25,26.25,26.0,26.12
SVC,1996-10-29,26.12,26.12,25.88,26.0
SVC,1996-10-30,26.0,26.12,25.88,26.12
SVC,1996-10-31,26.12,26.12,25.88,26.12
SVC,1996-11-01,26.12,26.12,25.0,25.62
SVC,1996-11-04,25.88,26.12,25.75,26.0
SVC,1996-11-05,26.0,26.0,25.62,25.75
SVC,1996-11-06,25.75,26.12,25.62,26.0
SVC,1996-11-07,26.0,26.25,25.88,26.12
SVC,1996-11-08,26.38,26.88,26.25,26.88
SVC,1996-11-11,26.88,27.12,26.75,27.12
SVC,1996-11-12,27.0,27.25,26.88,27.12
SVC,1996-11-13,27.12,27.5,26.88,27.38
SVC,1996-11-14,27.12,27.38,26.75,26.75
SVC,1996-11-15,26.75,26.75,26.38,26.62
SVC,1996-11-18,26.62,27.88,26.5,27.0
SVC,1996-11-19,27.0,27.12,26.88,27.0
SVC,1996-11-20,27.12,27.12,26.88,27.0
SVC,1996-11-21,27.0,27.12,26.88,27.0
SVC,1996-11-22,27.0,27.0,26.75,26.88
SVC,1996-11-25,27.0,27.0,26.88,27.0
SVC,1996-11-26,27.0,27.0,26.75,27.0
SVC,1996-11-27,27.0,27.0,26.88,27.0
SVC,1996-11-29,27.0,27.0,26.88,27.0
SVC,1996-12-02,27.0,27.0,26.75,27.0
SVC,1996-12-03,27.0,27.0,26.75,26.75
SVC,1996-12-04,26.75,26.88,26.62,26.88
SVC,1996-12-05,26.88,26.88,26.62,26.75
SVC,1996-12-06,26.62,26.75,26.5,26.75
SVC,1996-12-09,26.75,27.12,26.75,26.88
SVC,1996-12-10,27.0,27.38,27.0,27.12
SVC,1996-12-11,27.0,27.25,26.62,26.75
SVC,1996-12-12,26.88,27.12,26.75,26.75
SVC,1996-12-13,26.75,27.5,26.75,27.5
SVC,1996-12-16,27.38,27.75,27.38,27.38
SVC,1996-12-17,27.5,27.5,27.0,27.38
SVC,1996-12-18,27.38,27.5,27.25,27.5
