ticker,date,open,high,low,close
SWTX,2019-09-13,24.5,26.44,22.6,22.63
SWTX,2019-09-16,22.59,24.01,20.89,23.73
SWTX,2019-09-17,23.77,24.18,22.83,23.56
SWTX,2019-09-18,23.55,25.01,22.88,24.01
SWTX,2019-09-19,24.84,25.31,24.15,24.85
SWTX,2019-09-20,24.99,26.85,24.99,26.16
SWTX,2019-09-23,26.2,27.98,26.2,27.82
SWTX,2019-09-24,27.97,28.62,26.57,27.15
SWTX,2019-09-25,27.09,27.72,23.95,23.95
SWTX,2019-09-26,23.9,24.76,18.79,18.8
SWTX,2019-09-27,19.45,20.96,17.66,19.32
SWTX,2019-09-30,19.34,22.7,19.34,21.68
SWTX,2019-10-01,21.53,22.64,18.11,18.53
SWTX,2019-10-02,18.5,19.07,17.67,18.45
SWTX,2019-10-03,18.28,19.2,17.8,19.2
SWTX,2019-10-04,19.08,19.62,18.0,18.15
SWTX,2019-10-07,18.25,18.91,18.0,18.67
SWTX,2019-10-08,18.71,19.5,18.45,19.33
SWTX,2019-10-09,19.53,20.24,18.74,18.9
SWTX,2019-10-10,19.0,19.49,18.08,18.74
SWTX,2019-10-11,18.75,19.99,18.75,18.96
SWTX,2019-10-14,19.0,19.93,18.76,19.03
SWTX,2019-10-15,18.9,19.69,18.9,19.03
SWTX,2019-10-16,18.93,20.36,18.92,19.28
SWTX,2019-10-17,19.54,19.91,19.23,19.7
SWTX,2019-10-18,19.52,19.81,19.12,19.27
SWTX,2019-10-21,19.47,20.81,19.14,20.6
SWTX,2019-10-22,20.67,22.52,20.06,21.84
SWTX,2019-10-23,21.97,22.4,20.43,21.1
SWTX,2019-10-24,20.39,21.0,19.53,19.89
SWTX,2019-10-25,19.98,21.66,19.81,21.44
SWTX,2019-10-28,21.75,21.95,21.0,21.49
SWTX,2019-10-29,21.54,21.54,20.07,20.57
SWTX,2019-10-30,20.73,21.0,18.95,19.6
SWTX,2019-10-31,19.75,19.75,18.61,19.1
SWTX,2019-11-01,19.1,20.07,19.0,19.0
SWTX,2019-11-04,19.19,19.39,17.82,18.12
SWTX,2019-11-05,18.22,18.49,17.84,18.2
SWTX,2019-11-06,18.19,19.18,18.19,18.92
SWTX,2019-11-07,18.98,19.13,18.4,18.6
SWTX,2019-11-08,18.45,19.02,18.25,18.36
SWTX,2019-11-11,18.36,18.55,18.09,18.47
SWTX,2019-11-12,18.12,18.9,17.02,17.99
SWTX,2019-11-13,17.71,17.99,17.3,17.98
SWTX,2019-11-14,17.82,18.19,17.63,17.74
SWTX,2019-11-15,17.8,19.2,17.62,18.56
SWTX,2019-11-18,18.52,19.2,18.24,18.78
SWTX,2019-11-19,18.85,20.6,18.83,19.48
SWTX,2019-11-20,19.41,22.25,19.41,21.85
SWTX,2019-11-21,21.89,22.4,20.55,21.13
SWTX,2019-11-22,21.24,21.7,19.81,19.9
SWTX,2019-11-25,20.0,20.59,19.01,19.5
SWTX,2019-11-26,19.74,21.5,19.45,21.29
SWTX,2019-11-27,21.5,21.92,21.26,21.57
SWTX,2019-11-29,21.75,23.72,20.96,22.81
SWTX,2019-12-02,22.9,26.7,22.65,25.45
SWTX,2019-12-03,25.5,26.59,24.78,25.91
SWTX,2019-12-04,26.29,26.79,25.23,25.45
SWTX,2019-12-05,25.45,26.61,23.86,24.52
SWTX,2019-12-06,24.73,26.16,23.7,24.52
SWTX,2019-12-09,24.39,28.97,24.39,27.5
SWTX,2019-12-10,27.47,30.42,27.47,29.47
SWTX,2019-12-11,29.29,30.05,25.44,27.81
SWTX,2019-12-12,28.03,28.3,26.43,27.59
SWTX,2019-12-13,27.54,29.82,26.94,28.9
SWTX,2019-12-16,29.12,30.05,28.01,29.58
SWTX,2019-12-17,29.89,32.66,28.5,30.29
SWTX,2019-12-18,30.2,33.19,29.22,32.46
SWTX,2019-12-19,33.01,36.21,32.86,34.95
SWTX,2019-12-20,34.71,36.99,33.86,36.35
