ticker,date,open,high,low,close
TALS,2021-05-07,17.21,17.5,16.01,16.25
TALS,2021-05-10,16.0,16.614,15.187,15.28
TALS,2021-05-11,15.17,15.24,13.22,14.17
TALS,2021-05-12,14.24,14.403,13.03,13.05
TALS,2021-05-13,13.1,14.83,12.7,14.37
TALS,2021-05-14,14.37,14.48,13.68,13.83
TALS,2021-05-17,13.71,14.46,12.27,12.45
TALS,2021-05-18,12.44,13.35,11.415,12.72
TALS,2021-05-19,12.56,12.755,11.7,12.25
TALS,2021-05-20,12.09,12.8,11.7,12.46
TALS,2021-05-21,12.35,13.45,12.0,13.25
TALS,2021-05-24,13.14,13.48,12.72,13.22
TALS,2021-05-25,13.21,13.93,12.94,13.69
TALS,2021-05-26,13.54,14.25,13.54,14.0
TALS,2021-05-27,13.87,15.21,13.87,15.12
TALS,2021-05-28,14.96,16.55,14.71,16.07
TALS,2021-06-01,16.6,17.65,16.6,16.8
TALS,2021-06-02,17.02,17.414,16.68,17.05
TALS,2021-06-03,17.09,17.327,16.26,17.0
TALS,2021-06-04,16.85,17.39,16.74,17.08
TALS,2021-06-07,17.33,19.82,17.1,18.61
TALS,2021-06-08,18.88,18.88,17.53,17.91
TALS,2021-06-09,18.07,18.76,17.5,18.31
TALS,2021-06-10,18.586,18.586,17.84,18.34
TALS,2021-06-11,18.135,18.555,17.09,17.47
TALS,2021-06-14,17.56,17.76,17.05,17.47
TALS,2021-06-15,17.21,17.78,16.98,17.29
TALS,2021-06-16,17.14,18.47,16.65,16.82
TALS,2021-06-17,16.69,17.65,16.66,17.25
TALS,2021-06-18,17.09,17.97,16.7,16.95
TALS,2021-06-21,16.89,17.155,16.705,16.89
TALS,2021-06-22,16.805,17.04,15.1,15.45
TALS,2021-06-23,15.57,15.97,15.37,15.37
TALS,2021-06-24,15.47,16.17,13.69,13.69
TALS,2021-06-25,13.91,14.37,12.95,13.06
TALS,2021-06-28,13.307,13.35,12.5,13.17
TALS,2021-06-29,13.34,13.872,12.86,13.21
TALS,2021-06-30,13.17,14.86,13.02,14.69
TALS,2021-07-01,14.014,14.7,13.35,13.91
TALS,2021-07-02,14.33,14.47,13.91,14.07
TALS,2021-07-06,14.38,14.44,13.83,14.01
TALS,2021-07-07,13.96,13.979,13.5,13.53
TALS,2021-07-08,13.53,13.866,13.5,13.59
TALS,2021-07-09,13.81,13.883,13.25,13.44
TALS,2021-07-12,13.41,14.49,13.41,14.44
TALS,2021-07-13,14.37,14.71,13.86,14.0
TALS,2021-07-14,13.94,13.94,13.09,13.14
TALS,2021-07-15,13.35,13.88,12.52,12.66
TALS,2021-07-16,12.94,13.3,12.31,12.48
TALS,2021-07-19,12.63,12.73,12.08,12.26
TALS,2021-07-20,12.5,13.37,12.215,13.22
TALS,2021-07-21,13.11,14.351,12.985,14.07
TALS,2021-07-22,12.62,15.3,12.62,15.15
TALS,2021-07-23,15.46,15.46,14.421,15.0
TALS,2021-07-26,15.28,15.28,13.5,13.84
TALS,2021-07-27,13.8,14.85,13.25,13.33
TALS,2021-07-28,13.05,14.66,13.05,14.13
TALS,2021-07-29,14.095,14.455,14.01,14.18
TALS,2021-07-30,13.85,14.03,13.46,13.81
TALS,2021-08-02,13.15,14.62,13.15,14.12
TALS,2021-08-03,14.36,14.94,13.9,14.63
TALS,2021-08-04,14.4,15.035,14.08,14.38
TALS,2021-08-05,14.23,15.375,14.23,15.0
TALS,2021-08-06,15.11,15.11,14.19,14.37
TALS,2021-08-09,15.564,15.564,13.82,14.13
TALS,2021-08-10,13.95,14.54,13.67,13.95
TALS,2021-08-11,14.31,14.74,13.8,14.12
TALS,2021-08-12,14.34,14.34,13.32,13.79
TALS,2021-08-13,14.21,14.21,12.76,13.34
TALS,2021-08-16,12.86,13.146,12.2,12.57
TALS,2021-08-17,12.37,12.84,11.5,12.22
TALS,2021-08-18,12.0,13.488,12.0,13.18
TALS,2021-08-19,12.93,14.09,12.455,12.75
TALS,2021-08-20,12.43,13.39,12.43,13.37
TALS,2021-08-23,12.75,14.35,12.63,14.09
TALS,2021-08-24,14.17,14.39,13.15,13.49
TALS,2021-08-25,13.26,13.8,12.52,12.69
TALS,2021-08-26,12.5,12.83,12.1,12.26
TALS,2021-08-27,12.35,13.04,12.07,13.02
TALS,2021-08-30,13.04,13.04,11.39,12.0
TALS,2021-08-31,11.93,12.287,11.41,11.61
TALS,2021-09-01,11.64,12.24,11.64,12.24
TALS,2021-09-02,12.23,12.7,11.53,12.7
TALS,2021-09-03,12.69,13.75,12.27,13.72
TALS,2021-09-07,13.69,13.76,12.62,13.665
TALS,2021-09-08,13.77,15.797,12.97,15.69
TALS,2021-09-09,15.43,15.43,13.65,14.01
TALS,2021-09-10,13.92,15.44,12.91,12.92
TALS,2021-09-13,13.1,13.1,11.74,12.15
TALS,2021-09-14,12.34,13.45,12.01,12.86
TALS,2021-09-15,13.0,13.7,13.0,13.27
TALS,2021-09-16,13.33,13.9,13.166,13.5
TALS,2021-09-17,13.69,14.22,13.27,14.13
TALS,2021-09-20,14.07,14.07,12.83,13.25
TALS,2021-09-21,13.51,14.98,13.005,14.35
TALS,2021-09-22,14.65,15.31,14.1,14.64
TALS,2021-09-23,14.93,15.25,13.865,14.8
TALS,2021-09-24,14.75,14.97,14.1,14.8
TALS,2021-09-27,14.43,15.87,13.82,15.35
TALS,2021-09-28,15.11,16.605,14.805,15.99
TALS,2021-09-29,16.1,16.939,14.87,15.3
TALS,2021-09-30,15.35,15.93,13.25,13.56
TALS,2021-10-01,13.5,14.7,13.5,14.46
TALS,2021-10-04,13.71,15.22,13.39,14.63
TALS,2021-10-05,14.78,15.176,13.85,14.46
TALS,2021-10-06,14.12,15.1,12.717,13.86
TALS,2021-10-07,13.81,14.7,13.29,14.2
TALS,2021-10-08,14.05,14.91,13.74,14.5
TALS,2021-10-11,14.26,14.85,14.26,14.57
TALS,2021-10-12,13.85,14.91,13.85,14.87
TALS,2021-10-13,14.71,15.65,14.71,15.34
TALS,2021-10-14,15.72,15.955,15.17,15.32
TALS,2021-10-15,15.75,16.74,15.5,15.5
TALS,2021-10-18,15.45,16.04,15.28,15.75
TALS,2021-10-19,15.71,15.78,15.12,15.61
TALS,2021-10-20,16.25,16.25,15.19,15.4
TALS,2021-10-21,15.835,16.24,15.4,15.41
TALS,2021-10-22,15.69,16.63,14.87,15.7
TALS,2021-10-25,15.96,16.12,14.9,15.75
TALS,2021-10-26,15.7,16.09,15.65,15.75
TALS,2021-10-27,15.85,16.59,15.45,15.79
TALS,2021-10-28,15.75,16.4,15.46,15.75
TALS,2021-10-29,15.82,17.15,15.82,16.89
TALS,2021-11-01,17.14,17.485,16.73,17.0
TALS,2021-11-02,16.81,16.97,16.235,16.7
TALS,2021-11-03,16.49,16.97,15.62,16.48
TALS,2021-11-04,17.4,17.4,15.68,15.97
TALS,2021-11-05,16.19,16.64,16.03,16.2
TALS,2021-11-08,16.13,16.82,15.9,16.27
TALS,2021-11-09,15.9,16.585,15.6,16.15
TALS,2021-11-10,16.19,17.25,16.18,16.4
TALS,2021-11-11,16.4,16.705,15.77,15.98
TALS,2021-11-12,16.395,16.395,15.53,15.98
TALS,2021-11-15,16.24,16.24,14.78,14.86
TALS,2021-11-16,14.62,15.85,14.04,15.43
TALS,2021-11-17,15.17,15.475,14.73,14.84
TALS,2021-11-18,15.02,15.315,14.05,14.3
TALS,2021-11-19,14.11,14.28,13.0,13.09
TALS,2021-11-22,14.45,14.45,11.86,12.18
TALS,2021-11-23,12.05,12.61,11.3,12.22
TALS,2021-11-24,12.3,14.09,12.01,13.48
TALS,2021-11-26,13.03,14.33,13.02,13.04
TALS,2021-11-29,13.05,14.15,12.72,13.62
TALS,2021-11-30,13.52,13.73,12.52,12.96
TALS,2021-12-01,13.33,13.64,12.33,12.38
TALS,2021-12-02,12.29,13.69,12.29,13.61
TALS,2021-12-03,13.67,13.87,12.21,12.75
TALS,2021-12-06,13.04,14.45,12.6,13.58
TALS,2021-12-07,13.87,15.43,13.87,14.62
TALS,2021-12-08,14.43,15.4,13.82,15.15
TALS,2021-12-09,14.94,15.14,14.55,14.66
TALS,2021-12-10,14.96,15.56,14.28,14.48
