ticker,date,open,high,low,close
TBCP,2021-04-01,9.55,9.55,9.55,9.55
TBCP,2021-04-05,9.94,9.95,9.65,9.9
TBCP,2021-04-06,9.91,10.0,9.91,9.93
TBCP,2021-04-07,9.82,9.94,9.75,9.82
TBCP,2021-04-08,9.8,9.97,9.8,9.97
TBCP,2021-04-09,9.97,9.97,9.97,9.97
TBCP,2021-04-12,9.9,9.9,9.82,9.82
TBCP,2021-04-13,9.91,9.99,9.85,9.99
TBCP,2021-04-14,10.03,10.03,9.79,9.79
TBCP,2021-04-15,9.84,9.84,9.81,9.84
TBCP,2021-04-16,9.85,9.86,9.85,9.86
TBCP,2021-04-19,9.82,9.87,9.81,9.81
TBCP,2021-04-20,9.81,9.84,9.81,9.84
TBCP,2021-04-21,9.84,9.9,9.8,9.9
TBCP,2021-04-22,9.83,9.9,9.81,9.81
TBCP,2021-04-23,9.81,9.9,9.81,9.9
TBCP,2021-04-26,9.81,9.82,9.76,9.81
TBCP,2021-04-27,9.83,9.85,9.81,9.83
TBCP,2021-04-28,9.81,9.82,9.8,9.8
TBCP,2021-04-29,9.8,9.82,9.8,9.82
TBCP,2021-04-30,9.85,9.89,9.79,9.88
TBCP,2021-05-03,9.9,9.9,9.76,9.85
TBCP,2021-05-04,9.81,9.87,9.75,9.77
TBCP,2021-05-05,9.77,9.81,9.71,9.81
TBCP,2021-05-06,9.75,9.75,9.75,9.75
TBCP,2021-05-07,9.75,9.75,9.74,9.75
TBCP,2021-05-10,9.75,9.75,9.75,9.75
TBCP,2021-05-11,9.75,9.76,9.75,9.75
TBCP,2021-05-12,9.76,9.76,9.73,9.74
TBCP,2021-05-13,9.74,9.77,9.71,9.73
TBCP,2021-05-14,9.75,9.75,9.73,9.73
TBCP,2021-05-17,9.75,9.81,9.71,9.71
TBCP,2021-05-18,9.71,9.71,9.71,9.71
TBCP,2021-05-19,9.71,9.71,9.71,9.71
TBCP,2021-05-20,9.75,9.75,9.75,9.75
TBCP,2021-05-21,9.73,9.75,9.73,9.75
TBCP,2021-05-24,9.75,9.75,9.73,9.73
TBCP,2021-05-25,9.72,9.79,9.69,9.78
TBCP,2021-05-26,9.8,9.8,9.73,9.74
TBCP,2021-05-27,9.74,9.74,9.74,9.74
TBCP,2021-05-28,9.7,9.73,9.69,9.71
TBCP,2021-06-01,9.76,9.77,9.76,9.77
TBCP,2021-06-02,9.78,9.78,9.78,9.78
TBCP,2021-06-03,9.78,9.78,9.78,9.78
TBCP,2021-06-04,9.79,9.8,9.78,9.79
TBCP,2021-06-07,9.79,9.81,9.79,9.81
TBCP,2021-06-08,9.82,9.82,9.81,9.81
TBCP,2021-06-09,9.78,9.8,9.78,9.79
TBCP,2021-06-10,9.8,9.8,9.79,9.79
TBCP,2021-06-11,9.81,9.81,9.72,9.77
TBCP,2021-06-14,9.79,9.79,9.73,9.75
TBCP,2021-06-15,9.75,9.75,9.75,9.75
TBCP,2021-06-16,9.75,9.75,9.75,9.75
TBCP,2021-06-17,9.75,9.76,9.71,9.71
TBCP,2021-06-18,9.72,9.75,9.72,9.75
TBCP,2021-06-21,9.78,9.79,9.74,9.75
TBCP,2021-06-22,9.72,9.77,9.7,9.76
TBCP,2021-06-23,9.77,9.79,9.71,9.75
TBCP,2021-06-24,9.68,9.72,9.68,9.72
TBCP,2021-06-25,9.77,9.77,9.76,9.76
TBCP,2021-06-28,9.72,9.77,9.72,9.77
TBCP,2021-06-29,9.71,9.71,9.71,9.71
TBCP,2021-06-30,9.71,9.72,9.7,9.7
TBCP,2021-07-01,9.69,9.73,9.69,9.7
TBCP,2021-07-02,9.71,9.71,9.71,9.71
TBCP,2021-07-06,9.67,9.71,9.67,9.71
TBCP,2021-07-07,9.67,9.71,9.67,9.7
TBCP,2021-07-08,9.7,9.74,9.7,9.74
TBCP,2021-07-09,9.73,9.76,9.73,9.76
TBCP,2021-07-12,9.79,9.8,9.77,9.8
TBCP,2021-07-13,9.85,9.85,9.72,9.72
TBCP,2021-07-14,9.76,9.76,9.76,9.76
TBCP,2021-07-15,9.76,9.76,9.76,9.76
TBCP,2021-07-16,9.72,9.75,9.68,9.74
TBCP,2021-07-19,9.7,9.78,9.7,9.78
TBCP,2021-07-20,9.73,9.77,9.73,9.77
TBCP,2021-07-21,9.73,9.73,9.73,9.73
TBCP,2021-07-22,9.77,9.78,9.73,9.78
TBCP,2021-07-23,9.78,9.78,9.78,9.78
TBCP,2021-07-26,9.78,9.78,9.78,9.78
TBCP,2021-07-27,9.78,9.78,9.78,9.78
TBCP,2021-07-28,9.78,9.78,9.78,9.78
TBCP,2021-07-29,9.76,9.76,9.76,9.76
TBCP,2021-07-30,9.76,9.76,9.76,9.76
TBCP,2021-08-02,9.8,9.8,9.8,9.8
TBCP,2021-08-03,9.8,9.8,9.8,9.8
TBCP,2021-08-04,9.8,9.8,9.8,9.8
TBCP,2021-08-05,9.75,9.75,9.73,9.75
