ticker,date,open,high,low,close
TDCX,2021-10-01,20.95,22.0,18.53,19.07
TDCX,2021-10-04,19.07,20.61,18.7,20.07
TDCX,2021-10-05,20.2,22.05,20.0,21.8
TDCX,2021-10-06,21.52,25.32,21.05,25.25
TDCX,2021-10-07,26.37,26.37,24.27,24.9
TDCX,2021-10-08,24.55,25.16,23.88,24.17
TDCX,2021-10-11,23.69,24.39,23.0,23.56
TDCX,2021-10-12,23.7,23.95,23.05,23.8
TDCX,2021-10-13,23.75,26.0,23.27,25.67
TDCX,2021-10-14,25.36,27.0,24.63,24.88
TDCX,2021-10-15,24.63,25.36,24.34,24.95
TDCX,2021-10-18,24.43,24.69,22.43,22.8
TDCX,2021-10-19,23.0,23.51,22.82,23.14
TDCX,2021-10-20,23.15,24.44,23.0,24.12
TDCX,2021-10-21,24.26,25.26,23.71,24.96
TDCX,2021-10-22,24.7,25.41,24.69,24.71
TDCX,2021-10-25,25.16,26.07,24.89,26.07
TDCX,2021-10-26,26.0,27.5,25.94,26.98
TDCX,2021-10-27,26.98,27.6,26.87,27.22
TDCX,2021-10-28,27.15,27.82,27.15,27.62
TDCX,2021-10-29,27.53,28.7,27.31,28.68
TDCX,2021-11-01,28.86,30.0,28.0,28.35
TDCX,2021-11-02,27.88,28.48,25.48,26.21
TDCX,2021-11-03,26.19,26.63,25.08,25.36
TDCX,2021-11-04,25.11,26.42,24.45,26.25
TDCX,2021-11-05,26.19,26.69,25.78,26.46
TDCX,2021-11-08,26.52,28.03,26.52,26.9
TDCX,2021-11-09,26.55,27.43,26.32,26.85
TDCX,2021-11-10,27.23,27.23,23.91,24.01
TDCX,2021-11-11,24.43,25.63,24.43,25.03
TDCX,2021-11-12,25.0,25.15,24.26,24.86
TDCX,2021-11-15,24.47,25.0,24.2,24.35
TDCX,2021-11-16,24.46,24.6,24.11,24.21
TDCX,2021-11-17,24.0,24.3,23.3,23.46
TDCX,2021-11-18,23.67,23.83,23.01,23.01
TDCX,2021-11-19,23.13,23.53,22.7,22.97
TDCX,2021-11-22,23.19,23.76,22.73,23.09
TDCX,2021-11-23,23.24,23.36,22.5,22.63
TDCX,2021-11-24,22.0,23.01,18.6,18.72
TDCX,2021-11-26,19.23,20.45,19.23,20.2
TDCX,2021-11-29,20.1,20.96,18.75,18.94
TDCX,2021-11-30,18.6,19.57,18.54,19.0
TDCX,2021-12-01,19.25,19.85,18.23,18.8
TDCX,2021-12-02,18.64,19.13,18.31,18.8
TDCX,2021-12-03,19.43,19.73,17.94,18.18
TDCX,2021-12-06,18.09,18.94,17.98,18.34
TDCX,2021-12-07,18.35,19.19,18.35,19.0
