ticker,date,open,high,low,close
TTD,2016-09-21,2.88,3.04,2.78,3.01
TTD,2016-09-22,3.1,3.17,2.84,2.89
TTD,2016-09-23,2.88,2.89,2.68,2.77
TTD,2016-09-26,2.71,2.84,2.7,2.78
TTD,2016-09-27,2.83,3.08,2.73,3.0
TTD,2016-09-28,3.07,3.34,3.0,3.34
TTD,2016-09-29,3.26,3.32,2.88,2.9
TTD,2016-09-30,2.93,3.1,2.92,2.92
TTD,2016-10-03,2.91,2.93,2.62,2.64
TTD,2016-10-04,2.64,2.72,2.36,2.38
TTD,2016-10-05,2.44,2.52,2.35,2.48
TTD,2016-10-06,2.51,2.69,2.46,2.61
TTD,2016-10-07,2.53,2.65,2.5,2.63
TTD,2016-10-10,2.58,2.64,2.51,2.53
TTD,2016-10-11,2.51,2.59,2.35,2.55
TTD,2016-10-12,2.53,2.7,2.53,2.69
TTD,2016-10-13,2.64,2.67,2.55,2.6
TTD,2016-10-14,2.61,2.72,2.61,2.64
TTD,2016-10-17,2.7,2.72,2.61,2.63
TTD,2016-10-18,2.63,2.65,2.58,2.59
TTD,2016-10-19,2.58,2.62,2.53,2.55
TTD,2016-10-20,2.51,2.67,2.51,2.65
TTD,2016-10-21,2.65,2.75,2.62,2.75
TTD,2016-10-24,2.74,2.87,2.7,2.85
TTD,2016-10-25,2.86,2.95,2.86,2.88
TTD,2016-10-26,2.89,2.91,2.79,2.82
TTD,2016-10-27,2.82,2.86,2.54,2.55
TTD,2016-10-28,2.58,2.68,2.55,2.56
TTD,2016-10-31,2.6,2.6,2.42,2.52
TTD,2016-11-01,2.54,2.57,2.5,2.52
TTD,2016-11-02,2.5,2.6,2.42,2.44
TTD,2016-11-03,2.43,2.45,2.2,2.29
TTD,2016-11-04,2.29,2.42,2.28,2.39
TTD,2016-11-07,2.42,2.43,2.23,2.29
TTD,2016-11-08,2.43,2.43,2.26,2.28
TTD,2016-11-09,2.21,2.35,2.2,2.3
TTD,2016-11-10,2.39,2.43,2.32,2.34
TTD,2016-11-11,2.5,2.65,2.4,2.55
TTD,2016-11-14,2.56,2.73,2.55,2.58
TTD,2016-11-15,2.58,2.61,2.5,2.53
TTD,2016-11-16,2.5,2.6,2.48,2.54
TTD,2016-11-17,2.56,2.65,2.54,2.59
TTD,2016-11-18,2.6,2.92,2.6,2.91
TTD,2016-11-21,2.89,3.05,2.8,2.93
TTD,2016-11-22,2.94,2.96,2.83,2.87
TTD,2016-11-23,2.87,3.05,2.82,3.02
TTD,2016-11-25,3.0,3.05,2.87,2.91
TTD,2016-11-28,2.93,2.93,2.57,2.67
TTD,2016-11-29,2.66,2.78,2.55,2.71
TTD,2016-11-30,2.69,2.78,2.58,2.66
TTD,2016-12-01,2.64,2.7,2.55,2.61
TTD,2016-12-02,2.59,2.65,2.56,2.62
TTD,2016-12-05,2.62,2.72,2.61,2.66
TTD,2016-12-06,2.66,2.84,2.61,2.81
TTD,2016-12-07,2.81,2.85,2.75,2.76
TTD,2016-12-08,2.75,2.86,2.7,2.74
TTD,2016-12-09,2.76,2.84,2.71,2.75
TTD,2016-12-12,2.86,2.95,2.81,2.94
TTD,2016-12-13,2.94,3.04,2.87,2.93
TTD,2016-12-14,2.91,2.95,2.79,2.8
TTD,2016-12-15,2.81,2.96,2.8,2.95
TTD,2016-12-16,2.97,3.0,2.86,2.92
TTD,2016-12-19,2.94,2.99,2.88,2.92
TTD,2016-12-20,2.94,3.14,2.89,3.11
TTD,2016-12-21,3.12,3.12,2.98,3.04
TTD,2016-12-22,3.02,3.09,2.95,3.03
TTD,2016-12-23,3.05,3.07,2.95,3.02
TTD,2016-12-27,3.05,3.06,2.96,2.99
TTD,2016-12-28,2.98,3.02,2.84,2.85
TTD,2016-12-29,2.86,2.91,2.81,2.84
