ticker,date,open,high,low,close
UPST,2020-12-16,26.0,30.01,22.61,29.47
UPST,2020-12-17,28.64,39.85,28.25,35.77
UPST,2020-12-18,38.02,48.66,37.06,44.09
UPST,2020-12-21,44.0,47.99,40.0,41.1
UPST,2020-12-22,43.1,48.08,40.65,47.84
UPST,2020-12-23,47.5,51.4,43.02,46.32
UPST,2020-12-24,46.59,47.47,42.51,43.96
UPST,2020-12-28,44.31,45.0,38.05,42.63
UPST,2020-12-29,42.04,42.49,39.51,40.75
UPST,2020-12-30,41.2,41.5,38.11,38.87
UPST,2020-12-31,38.2,40.95,36.26,40.75
UPST,2021-01-04,40.34,45.0,38.05,43.99
UPST,2021-01-05,45.1,53.63,44.2,48.37
UPST,2021-01-06,47.05,57.0,45.14,52.14
UPST,2021-01-07,55.99,61.26,55.04,55.39
UPST,2021-01-08,58.0,58.0,50.28,52.73
UPST,2021-01-11,51.0,56.0,50.53,54.71
UPST,2021-01-12,56.11,63.5,55.53,62.48
UPST,2021-01-13,60.61,69.48,57.7,57.88
UPST,2021-01-14,60.92,67.43,59.49,60.64
UPST,2021-01-15,60.64,62.6,55.6,56.0
UPST,2021-01-19,58.13,61.63,53.0,54.28
UPST,2021-01-20,54.51,56.22,53.25,55.22
UPST,2021-01-21,55.05,65.29,55.05,63.77
UPST,2021-01-22,62.4,64.88,58.53,64.47
UPST,2021-01-25,65.0,72.67,64.01,67.36
UPST,2021-01-26,67.71,68.69,63.3,64.45
UPST,2021-01-27,60.07,70.8,58.0,64.7
UPST,2021-01-28,64.54,67.41,63.52,65.15
UPST,2021-01-29,64.56,67.4,60.12,62.19
UPST,2021-02-01,63.0,70.85,61.9,70.25
UPST,2021-02-02,71.04,80.0,71.04,75.47
UPST,2021-02-03,76.93,81.91,76.51,79.75
UPST,2021-02-04,80.55,81.09,74.19,75.75
UPST,2021-02-05,76.14,79.78,74.01,75.24
UPST,2021-02-08,77.34,78.34,74.1,76.0
UPST,2021-02-09,75.92,82.75,75.52,80.25
UPST,2021-02-10,80.91,91.39,78.71,91.04
UPST,2021-02-11,93.5,105.58,92.55,95.13
UPST,2021-02-12,93.0,102.21,92.62,102.18
UPST,2021-02-16,104.77,105.0,90.27,92.28
UPST,2021-02-17,91.75,92.27,84.14,87.24
UPST,2021-02-18,84.0,84.52,78.5,82.32
UPST,2021-02-19,83.75,93.0,83.5,89.73
UPST,2021-02-22,87.3,89.49,75.06,77.01
UPST,2021-02-23,72.95,75.38,61.01,73.06
UPST,2021-02-24,73.74,83.29,72.01,74.51
UPST,2021-02-25,74.08,79.62,66.08,68.52
UPST,2021-02-26,68.79,71.88,63.35,65.64
UPST,2021-03-01,66.78,73.46,65.87,66.65
UPST,2021-03-02,67.21,67.76,58.29,60.36
UPST,2021-03-03,61.7,63.01,55.6,57.58
UPST,2021-03-04,56.15,59.54,49.09,54.92
