ticker,date,open,high,low,close
USAC,2013-01-15,17.5,17.93,17.4,17.6
USAC,2013-01-16,17.7,17.8,17.57,17.57
USAC,2013-01-17,17.58,17.7,17.5,17.5
USAC,2013-01-18,17.5,17.58,17.25,17.4
USAC,2013-01-22,17.45,17.91,17.28,17.87
USAC,2013-01-23,17.94,17.94,17.69,17.83
USAC,2013-01-24,17.77,17.91,17.72,17.8
USAC,2013-01-25,17.89,17.98,17.75,17.8
USAC,2013-01-28,17.78,17.85,17.64,17.75
USAC,2013-01-29,17.8,17.84,17.66,17.75
USAC,2013-01-30,17.8,17.82,17.66,17.78
USAC,2013-01-31,17.85,17.85,17.65,17.72
USAC,2013-02-01,17.75,17.95,17.74,17.82
USAC,2013-02-04,17.89,17.89,17.55,17.75
USAC,2013-02-05,17.85,17.85,17.65,17.75
USAC,2013-02-06,17.75,17.9,17.65,17.79
USAC,2013-02-07,17.73,17.95,17.71,17.91
USAC,2013-02-08,17.84,17.95,17.72,17.95
USAC,2013-02-11,18.11,18.44,18.05,18.31
USAC,2013-02-12,18.45,18.77,18.4,18.45
USAC,2013-02-13,18.57,18.85,18.43,18.51
USAC,2013-02-14,18.56,18.66,18.38,18.39
USAC,2013-02-15,18.33,18.45,18.13,18.4
USAC,2013-02-19,18.33,18.48,18.13,18.4
USAC,2013-02-20,18.33,18.55,18.23,18.26
USAC,2013-02-21,18.26,18.35,18.02,18.03
USAC,2013-02-22,18.17,18.45,18.17,18.34
USAC,2013-02-25,18.31,18.46,18.12,18.16
USAC,2013-02-26,18.3,18.49,18.06,18.45
USAC,2013-02-27,18.49,18.67,18.27,18.57
USAC,2013-02-28,18.47,18.69,18.39,18.65
USAC,2013-03-01,18.53,18.8,18.32,18.7
USAC,2013-03-04,18.77,19.0,18.6,18.97
USAC,2013-03-05,18.98,19.3,18.97,19.2
USAC,2013-03-06,19.16,19.25,18.62,19.05
USAC,2013-03-07,19.0,19.2,18.82,19.16
USAC,2013-03-08,18.83,19.39,18.83,19.31
USAC,2013-03-11,19.29,19.65,19.04,19.6
USAC,2013-03-12,19.51,19.75,19.3,19.52
USAC,2013-03-13,19.45,19.75,19.32,19.65
USAC,2013-03-14,19.65,19.85,19.45,19.61
USAC,2013-03-15,19.47,19.82,19.41,19.76
USAC,2013-03-18,19.7,19.7,19.25,19.52
USAC,2013-03-19,19.51,19.52,19.2,19.2
USAC,2013-03-20,19.18,19.26,18.67,19.18
USAC,2013-03-21,19.0,19.17,18.85,19.13
USAC,2013-03-22,19.23,19.35,18.93,19.2
USAC,2013-03-25,19.15,19.22,19.0,19.2
USAC,2013-03-26,19.15,19.5,19.1,19.47
USAC,2013-03-27,19.27,19.66,19.17,19.65
USAC,2013-03-28,19.56,20.0,19.48,20.0
USAC,2013-04-01,19.83,19.99,19.71,19.9
