ticker,date,open,high,low,close
VAPO,2018-11-14,15.5,16.44,15.0,16.0
VAPO,2018-11-15,15.97,18.86,15.92,17.59
VAPO,2018-11-16,17.96,18.29,16.75,16.96
VAPO,2018-11-19,17.04,17.14,16.25,17.14
VAPO,2018-11-20,17.14,17.14,14.7,15.98
VAPO,2018-11-21,15.96,16.25,15.85,16.15
VAPO,2018-11-23,16.15,16.93,15.99,16.85
VAPO,2018-11-26,16.92,18.3,16.9,18.0
VAPO,2018-11-27,18.0,18.55,17.65,17.84
VAPO,2018-11-28,17.8,18.21,17.23,18.15
VAPO,2018-11-29,18.05,21.01,18.05,18.65
VAPO,2018-11-30,18.25,18.48,17.59,18.39
VAPO,2018-12-03,18.57,20.82,18.4,20.65
VAPO,2018-12-04,20.25,21.0,19.71,21.0
VAPO,2018-12-06,21.0,21.0,20.0,20.69
VAPO,2018-12-07,20.6,22.07,20.45,20.93
VAPO,2018-12-10,20.1,20.58,18.58,19.0
VAPO,2018-12-11,19.07,19.11,18.05,18.93
VAPO,2018-12-12,18.94,19.37,18.01,18.35
VAPO,2018-12-13,18.4,18.67,17.6,18.0
VAPO,2018-12-14,17.78,18.74,17.26,18.13
VAPO,2018-12-17,18.02,18.02,17.19,17.6
VAPO,2018-12-18,17.65,18.41,17.4,17.4
VAPO,2018-12-19,17.37,18.24,16.9,16.9
VAPO,2018-12-20,16.8,16.93,15.3,16.17
VAPO,2018-12-21,16.17,16.83,15.77,16.49
VAPO,2018-12-24,16.65,16.65,15.97,16.3
VAPO,2018-12-26,16.42,17.24,16.02,17.23
VAPO,2018-12-27,17.06,18.4,17.0,18.25
VAPO,2018-12-28,18.25,19.21,18.25,19.0
VAPO,2018-12-31,19.31,20.2,18.8,19.95
VAPO,2019-01-02,19.66,20.0,18.4,18.46
VAPO,2019-01-03,18.48,18.75,17.46,17.53
VAPO,2019-01-04,17.59,18.39,17.55,18.03
VAPO,2019-01-07,18.0,18.0,16.65,16.69
VAPO,2019-01-08,16.83,16.83,15.68,16.02
VAPO,2019-01-09,16.04,17.1,15.31,16.95
VAPO,2019-01-10,16.8,17.97,16.5,17.44
VAPO,2019-01-11,17.26,17.43,16.92,17.15
VAPO,2019-01-14,17.0,17.33,16.56,16.8
VAPO,2019-01-15,16.79,16.79,15.6,16.45
VAPO,2019-01-16,16.45,16.69,16.22,16.34
VAPO,2019-01-17,16.34,16.47,15.88,16.31
VAPO,2019-01-18,16.38,16.68,16.02,16.33
VAPO,2019-01-22,16.18,16.43,15.56,16.34
VAPO,2019-01-23,16.38,16.44,15.8,16.17
VAPO,2019-01-24,16.17,16.8,15.59,16.6
VAPO,2019-01-25,16.68,16.8,16.12,16.42
VAPO,2019-01-28,16.27,16.46,15.91,16.27
VAPO,2019-01-29,16.27,16.37,16.06,16.24
VAPO,2019-01-30,16.33,16.64,16.23,16.33
VAPO,2019-01-31,16.33,16.93,16.27,16.83
VAPO,2019-02-01,16.93,16.93,16.2,16.69
VAPO,2019-02-04,16.66,16.7,16.34,16.49
VAPO,2019-02-05,16.5,16.7,16.5,16.62
VAPO,2019-02-06,16.68,16.72,16.48,16.5
VAPO,2019-02-07,16.6,16.64,16.28,16.6
