ticker,date,open,high,low,close
VCIG,2023-04-13,5.16,5.35,4.25,4.25
VCIG,2023-04-14,4.0,4.031,2.455,2.56
VCIG,2023-04-17,2.6,2.6,2.1,2.19
VCIG,2023-04-18,2.12,2.12,1.88,1.9
VCIG,2023-04-19,2.0,2.09,1.85,1.98
VCIG,2023-04-20,2.09,2.58,1.86,2.04
VCIG,2023-04-21,2.74,2.895,1.78,1.97
VCIG,2023-04-24,1.99,1.99,1.57,1.65
VCIG,2023-04-25,1.53,1.98,1.53,1.9
VCIG,2023-04-26,1.76,2.52,1.76,2.37
VCIG,2023-04-27,2.18,2.45,2.18,2.4
VCIG,2023-04-28,2.4,2.5099,2.1,2.44
VCIG,2023-05-01,2.36,2.89,2.36,2.63
VCIG,2023-05-02,2.63,24.2047,2.63,17.01
VCIG,2023-05-03,7.55,7.86,4.87,5.3
VCIG,2023-05-04,5.0,5.06,3.6105,3.72
VCIG,2023-05-05,4.14,4.88,3.6,3.92
VCIG,2023-05-08,4.14,6.52,3.9,4.2
VCIG,2023-05-09,4.33,4.33,3.51,3.72
VCIG,2023-05-10,3.63,3.95,3.14,3.25
VCIG,2023-05-11,3.3,5.86,3.11,3.52
VCIG,2023-05-12,3.3,3.65,2.85,2.99
VCIG,2023-05-15,3.05,3.56,2.86,3.11
VCIG,2023-05-16,2.89,3.13,2.8001,2.92
VCIG,2023-05-17,2.87,2.98,2.8,2.91
VCIG,2023-05-18,2.85,2.93,2.57,2.72
VCIG,2023-05-19,2.75,2.87,2.6,2.79
VCIG,2023-05-22,2.7079,2.81,2.6,2.73
VCIG,2023-05-23,2.69,2.83,2.6,2.78
VCIG,2023-05-24,2.69,2.8154,2.6,2.67
VCIG,2023-05-25,2.59,2.9335,2.57,2.65
VCIG,2023-05-26,2.63,2.68,2.45,2.47
VCIG,2023-05-30,2.47,2.75,2.4,2.6
VCIG,2023-05-31,2.61,2.82,2.5,2.75
VCIG,2023-06-01,3.4,3.42,2.3701,2.7
VCIG,2023-06-02,2.58,2.7451,2.5,2.62
VCIG,2023-06-05,2.78,2.78,2.55,2.6
VCIG,2023-06-06,2.56,2.6995,2.5,2.68
VCIG,2023-06-07,2.5816,2.68,2.4205,2.59
VCIG,2023-06-08,2.68,2.92,2.5604,2.85
VCIG,2023-06-09,2.7,2.81,2.61,2.65
VCIG,2023-06-12,2.56,2.8093,2.55,2.73
VCIG,2023-06-13,2.64,2.65,2.52,2.5993
VCIG,2023-06-14,2.66,2.66,2.41,2.44
VCIG,2023-06-15,2.33,2.5796,2.33,2.4
VCIG,2023-06-16,2.97,3.1999,2.46,2.83
VCIG,2023-06-20,3.8,11.32,3.57,7.25
VCIG,2023-06-21,5.68,6.08,4.65,4.96
VCIG,2023-06-22,4.78,7.84,4.78,6.69
VCIG,2023-06-23,6.69,6.8,5.67,6.08
VCIG,2023-06-26,6.36,7.75,5.93,6.69
VCIG,2023-06-27,6.48,6.64,5.05,5.63
VCIG,2023-06-28,5.57,6.13,5.32,5.69
VCIG,2023-06-29,5.79,6.1,5.29,5.65
VCIG,2023-06-30,5.55,5.55,5.11,5.28
VCIG,2023-07-03,5.11,5.18,4.79,5.17
VCIG,2023-07-05,5.02,5.11,4.5801,4.66
VCIG,2023-07-06,4.55,4.62,4.3331,4.43
VCIG,2023-07-07,4.42,4.6627,4.35,4.55
VCIG,2023-07-10,4.48,4.755,4.25,4.33
VCIG,2023-07-11,4.26,4.375,4.0,4.04
VCIG,2023-07-12,4.0,4.1842,3.62,3.77
VCIG,2023-07-13,3.63,3.8,3.58,3.7
VCIG,2023-07-14,3.63,3.6842,3.15,3.24
VCIG,2023-07-17,3.57,3.7799,3.37,3.54
VCIG,2023-07-18,3.48,3.65,3.3892,3.46
VCIG,2023-07-19,3.39,3.5699,3.261,3.39
VCIG,2023-07-20,3.33,3.6899,3.33,3.56
VCIG,2023-07-21,3.61,3.84,3.4201,3.8
