ticker,date,open,high,low,close
VEEV,2013-10-16,38.0,39.64,35.06,37.16
VEEV,2013-10-17,37.13,42.0,37.1,41.6
VEEV,2013-10-18,43.7,44.99,43.59,44.39
VEEV,2013-10-21,49.0,49.0,45.39,46.24
VEEV,2013-10-22,47.96,48.0,41.77,42.95
VEEV,2013-10-23,42.47,42.93,39.57,40.15
VEEV,2013-10-24,40.15,43.34,40.15,43.15
VEEV,2013-10-25,44.0,44.62,40.6,43.0
VEEV,2013-10-28,43.25,43.25,40.11,40.47
VEEV,2013-10-29,40.48,41.0,38.01,38.72
VEEV,2013-10-30,38.62,39.0,36.82,37.2
VEEV,2013-10-31,36.9,39.49,35.0,38.91
VEEV,2013-11-01,39.0,40.3,37.55,38.58
VEEV,2013-11-04,39.04,39.92,37.5,38.93
VEEV,2013-11-05,39.0,39.56,37.9,38.19
VEEV,2013-11-06,38.76,38.88,37.8,38.64
VEEV,2013-11-07,38.64,38.7,37.68,38.11
VEEV,2013-11-08,38.15,40.62,38.15,40.54
VEEV,2013-11-11,40.23,40.59,37.09,37.19
VEEV,2013-11-12,37.64,37.64,36.6,37.1
VEEV,2013-11-13,37.0,38.77,36.75,38.71
VEEV,2013-11-14,39.05,39.05,38.36,38.85
VEEV,2013-11-15,39.44,41.05,38.48,38.59
VEEV,2013-11-18,38.6,40.79,38.25,38.53
VEEV,2013-11-19,38.25,38.32,36.81,37.01
VEEV,2013-11-20,37.75,38.62,36.75,36.93
VEEV,2013-11-21,37.16,37.99,36.85,37.55
VEEV,2013-11-22,39.44,39.7,37.83,38.15
VEEV,2013-11-25,39.25,40.75,38.46,39.49
VEEV,2013-11-26,38.41,42.47,38.4,42.13
VEEV,2013-11-27,42.44,43.69,41.02,41.91
VEEV,2013-11-29,42.29,42.59,39.73,40.49
VEEV,2013-12-02,40.03,42.22,40.03,41.22
VEEV,2013-12-03,40.33,42.27,39.99,40.21
VEEV,2013-12-04,40.35,41.89,39.95,40.14
VEEV,2013-12-05,40.49,41.48,40.03,40.98
VEEV,2013-12-06,43.22,44.3,38.5,40.05
VEEV,2013-12-09,40.04,40.08,37.82,38.08
VEEV,2013-12-10,38.08,39.48,37.98,38.31
VEEV,2013-12-11,38.4,38.91,37.78,37.88
VEEV,2013-12-12,37.7,38.28,37.4,37.52
VEEV,2013-12-13,37.83,37.86,36.67,36.93
VEEV,2013-12-16,36.97,37.09,32.56,34.17
VEEV,2013-12-17,34.31,34.31,32.88,34.06
VEEV,2013-12-18,33.22,34.15,32.6,33.57
VEEV,2013-12-19,33.2,33.32,32.05,32.94
VEEV,2013-12-20,33.0,33.99,32.25,33.69
VEEV,2013-12-23,33.6,33.9,32.53,32.7
VEEV,2013-12-24,32.9,32.98,32.59,32.83
VEEV,2013-12-26,32.75,33.49,32.08,32.31
VEEV,2013-12-27,32.15,32.41,31.56,31.86
VEEV,2013-12-30,31.8,32.4,31.43,31.88
VEEV,2013-12-31,32.07,32.23,31.63,32.1
VEEV,2014-01-02,32.08,32.43,31.9,32.33
VEEV,2014-01-03,32.35,35.5,32.0,35.17
VEEV,2014-01-06,35.02,35.59,34.14,34.86
VEEV,2014-01-07,34.69,34.91,33.7,34.34
VEEV,2014-01-08,34.28,35.0,33.8,34.17
VEEV,2014-01-09,34.07,34.38,32.11,32.63
VEEV,2014-01-10,32.63,32.73,31.5,32.53
VEEV,2014-01-13,32.91,33.1,32.47,33.07
VEEV,2014-01-14,33.09,33.76,32.91,33.74
VEEV,2014-01-15,33.29,33.5,28.71,32.02
VEEV,2014-01-16,32.0,32.36,31.31,31.94
VEEV,2014-01-17,31.9,31.99,31.32,31.5
VEEV,2014-01-21,31.6,31.89,31.22,31.76
VEEV,2014-01-22,31.96,31.97,31.14,31.29
VEEV,2014-01-23,31.89,32.08,31.25,31.62
VEEV,2014-01-24,31.41,32.01,30.91,31.89
VEEV,2014-01-27,31.82,31.89,30.58,31.09
VEEV,2014-01-28,31.11,31.57,30.9,31.02
VEEV,2014-01-29,30.71,31.18,30.5,31.0
VEEV,2014-01-30,31.26,32.64,31.26,32.25
VEEV,2014-01-31,31.98,32.39,31.75,31.79
VEEV,2014-02-03,31.76,31.78,29.19,29.46
VEEV,2014-02-04,29.55,30.11,28.81,30.04
VEEV,2014-02-05,29.68,30.38,29.47,29.76
VEEV,2014-02-06,29.96,30.73,29.84,30.55
VEEV,2014-02-07,30.75,30.97,30.56,30.81
VEEV,2014-02-10,30.9,31.03,30.69,30.85
VEEV,2014-02-11,30.9,31.34,30.45,31.02
VEEV,2014-02-12,31.17,31.54,30.92,31.3
VEEV,2014-02-13,31.29,32.96,31.29,32.62
VEEV,2014-02-14,32.83,34.26,32.49,34.23
VEEV,2014-02-18,34.4,36.17,34.38,35.85
VEEV,2014-02-19,35.76,36.27,35.18,35.9
VEEV,2014-02-20,35.89,36.04,35.39,35.87
VEEV,2014-02-21,35.91,35.91,34.36,35.05
VEEV,2014-02-24,35.07,36.07,34.83,35.17
VEEV,2014-02-25,35.07,35.07,33.68,35.0
VEEV,2014-02-26,35.05,35.31,34.72,35.17
VEEV,2014-02-27,35.22,36.22,35.07,35.85
VEEV,2014-02-28,36.07,38.08,34.7,35.3
VEEV,2014-03-03,34.96,36.04,34.22,35.99
VEEV,2014-03-04,36.35,37.85,35.63,37.8
VEEV,2014-03-05,39.81,39.81,34.12,34.76
VEEV,2014-03-06,34.86,35.73,33.78,34.05
VEEV,2014-03-07,33.85,34.13,32.32,32.43
VEEV,2014-03-10,32.65,33.91,32.28,33.77
VEEV,2014-03-11,33.98,34.06,32.86,32.97
VEEV,2014-03-12,32.83,33.5,32.83,33.29
VEEV,2014-03-13,33.39,33.47,31.88,32.57
VEEV,2014-03-14,32.59,32.99,32.0,32.26
VEEV,2014-03-17,32.6,33.4,32.28,33.1
VEEV,2014-03-18,33.94,34.0,33.47,33.78
VEEV,2014-03-19,33.78,33.78,32.55,32.82
VEEV,2014-03-20,32.49,32.87,31.65,31.74
VEEV,2014-03-21,31.71,32.06,29.85,30.11
VEEV,2014-03-24,30.14,30.17,27.0,27.39
VEEV,2014-03-25,27.0,28.83,26.64,27.27
VEEV,2014-03-26,26.85,27.13,25.21,26.27
VEEV,2014-03-27,26.2,26.7,25.37,26.0
VEEV,2014-03-28,26.05,26.92,25.84,26.91
VEEV,2014-03-31,26.9,27.1,26.35,26.7
VEEV,2014-04-01,26.7,27.08,26.04,26.29
VEEV,2014-04-02,28.39,29.06,25.85,26.39
