ticker,date,open,high,low,close
VEL,2020-01-17,13.85,14.25,13.4,13.51
VEL,2020-01-21,13.52,14.25,13.3,14.11
VEL,2020-01-22,14.16,14.25,13.8,14.05
VEL,2020-01-23,14.1,14.1,13.89,13.89
VEL,2020-01-24,13.91,14.03,13.17,13.64
VEL,2020-01-27,13.6,14.0,13.24,13.99
VEL,2020-01-28,14.11,14.11,13.92,13.96
VEL,2020-01-29,14.12,14.25,13.93,14.12
VEL,2020-01-30,14.21,14.25,14.0,14.25
VEL,2020-01-31,14.25,14.25,14.09,14.21
VEL,2020-02-03,14.25,14.25,13.93,13.99
VEL,2020-02-04,14.19,14.19,13.68,14.07
VEL,2020-02-05,13.96,13.97,13.68,13.78
VEL,2020-02-06,13.74,14.27,13.7,13.99
VEL,2020-02-07,13.99,14.25,13.78,13.99
VEL,2020-02-10,13.86,13.95,13.52,13.85
VEL,2020-02-11,13.96,14.17,13.89,14.17
VEL,2020-02-12,14.25,14.27,14.02,14.26
VEL,2020-02-13,14.27,14.7,14.22,14.48
VEL,2020-02-14,14.59,14.72,14.26,14.43
VEL,2020-02-18,14.55,14.55,13.77,14.38
VEL,2020-02-19,14.49,14.69,14.43,14.43
VEL,2020-02-20,14.33,14.9,14.33,14.64
VEL,2020-02-21,14.55,14.66,14.3,14.39
VEL,2020-02-24,14.26,14.32,13.88,14.05
VEL,2020-02-25,14.11,14.33,13.5,14.18
VEL,2020-02-26,14.11,14.35,13.91,14.15
VEL,2020-02-27,13.86,14.09,13.52,13.62
VEL,2020-02-28,13.45,13.54,11.62,13.4
VEL,2020-03-02,13.25,14.25,12.95,13.8
VEL,2020-03-03,13.78,13.99,13.36,13.84
VEL,2020-03-04,13.99,14.01,13.7,13.87
VEL,2020-03-05,13.69,13.69,12.56,12.7
VEL,2020-03-06,12.37,12.79,12.34,12.78
VEL,2020-03-09,11.78,11.83,10.6,11.31
VEL,2020-03-10,11.75,11.75,9.84,10.75
VEL,2020-03-11,10.72,11.04,10.05,10.16
VEL,2020-03-12,9.82,9.82,8.62,9.0
VEL,2020-03-13,9.35,9.47,6.65,9.01
VEL,2020-03-16,8.04,8.04,4.32,4.54
VEL,2020-03-17,4.35,5.78,3.83,5.0
VEL,2020-03-18,4.51,4.84,3.85,4.4
VEL,2020-03-19,4.38,5.63,4.3,5.29
VEL,2020-03-20,5.39,8.49,4.84,5.51
VEL,2020-03-23,5.54,5.7,4.51,4.79
VEL,2020-03-24,5.0,5.14,3.03,3.45
VEL,2020-03-25,3.8,5.51,3.8,5.3
VEL,2020-03-26,5.73,8.38,5.55,8.2
