ticker,date,open,high,low,close
VERO,2017-10-12,128.25,179.25,128.25,148.8
VERO,2017-10-13,148.95,152.925,137.85,144.0
VERO,2017-10-16,144.45,146.55,128.4,134.25
VERO,2017-10-17,133.65,134.55,130.2,131.55
VERO,2017-10-18,130.95,132.36,104.7,105.15
VERO,2017-10-19,105.75,107.235,97.8,99.15
VERO,2017-10-20,100.95,116.55,100.95,104.4
VERO,2017-10-23,105.0,111.6,105.0,108.15
VERO,2017-10-24,108.6,114.6,107.04,112.2
VERO,2017-10-25,114.45,114.45,108.015,109.65
VERO,2017-10-26,119.25,119.25,108.45,111.6
VERO,2017-10-27,112.5,112.5,105.15,108.0
VERO,2017-10-30,105.75,108.3,99.15,99.15
VERO,2017-10-31,103.05,108.735,99.3,107.7
VERO,2017-11-01,106.2,109.44,103.95,106.65
VERO,2017-11-02,105.0,107.25,101.265,103.35
VERO,2017-11-03,102.3,106.2,99.0,103.8
VERO,2017-11-06,102.15,102.15,97.5,97.5
VERO,2017-11-07,97.2,99.0,95.4,97.2
VERO,2017-11-08,96.9,96.9,93.75,95.25
VERO,2017-11-09,94.2,94.965,80.415,86.4
VERO,2017-11-10,86.4,110.64,86.025,107.85
VERO,2017-11-13,107.85,107.85,96.015,100.35
VERO,2017-11-14,98.4,98.7,94.5,98.25
VERO,2017-11-15,96.6,97.5,94.5,94.65
VERO,2017-11-16,92.55,97.5,87.9,91.5
VERO,2017-11-17,90.0,91.08,88.65,90.0
VERO,2017-11-20,88.5,95.85,88.2,88.2
VERO,2017-11-21,92.7,92.7,87.075,87.15
VERO,2017-11-22,88.95,90.0,86.4,90.0
VERO,2017-11-24,90.0,90.0,87.6,90.0
VERO,2017-11-27,87.6,93.0,87.6,91.65
VERO,2017-11-28,90.3,92.4,87.9,92.4
VERO,2017-11-29,90.0,92.25,87.0,90.0
VERO,2017-11-30,90.0,93.0,88.05,90.75
VERO,2017-12-01,90.9,93.45,88.35,92.7
VERO,2017-12-04,93.75,94.875,90.45,91.5
VERO,2017-12-05,90.6,99.0,90.6,94.65
VERO,2017-12-06,94.65,96.15,89.4,90.0
VERO,2017-12-07,90.75,94.605,83.7,83.7
VERO,2017-12-08,84.6,87.9,79.35,79.95
VERO,2017-12-11,86.7,86.7,80.85,82.5
VERO,2017-12-12,81.45,86.025,81.45,81.75
VERO,2017-12-13,84.0,88.35,81.3,82.8
VERO,2017-12-14,86.85,86.85,79.95,81.0
VERO,2017-12-15,84.15,84.15,71.55,72.9
VERO,2017-12-18,75.75,79.785,72.6,74.4
VERO,2017-12-19,73.65,73.65,70.41,70.95
VERO,2017-12-20,71.4,72.6,68.1,68.55
VERO,2017-12-21,72.0,72.0,68.1,69.45
VERO,2017-12-22,68.55,70.35,64.35,64.65
VERO,2017-12-26,64.95,64.95,59.4,61.2
VERO,2017-12-27,60.75,66.75,60.75,66.0
VERO,2017-12-28,66.0,69.6,65.4,67.05
VERO,2017-12-29,68.46,73.5,67.35,69.0
VERO,2018-01-02,69.465,75.0,69.465,74.1
VERO,2018-01-03,74.7,78.45,71.25,73.5
VERO,2018-01-04,73.05,78.75,72.9,77.4
VERO,2018-01-05,76.95,81.0,75.3,76.65
VERO,2018-01-08,77.25,77.265,71.7,72.15
VERO,2018-01-09,72.75,72.75,65.55,67.8
VERO,2018-01-10,67.95,71.25,65.4,66.15
VERO,2018-01-11,66.75,70.2,65.25,66.15
VERO,2018-01-12,66.0,69.3,64.65,65.85
VERO,2018-01-16,67.95,67.95,60.75,61.05
VERO,2018-01-17,60.75,68.7,58.95,67.8
VERO,2018-01-18,67.2,67.65,60.75,61.8
VERO,2018-01-19,61.8,64.65,57.0,61.8
VERO,2018-01-22,62.25,63.6,60.15,63.15
VERO,2018-01-23,63.6,64.35,60.3,60.75
VERO,2018-01-24,60.9,63.6,60.9,63.15
VERO,2018-01-25,62.85,65.85,62.55,63.9
VERO,2018-01-26,65.25,74.1,61.8,72.45
VERO,2018-01-29,71.85,81.0,66.75,79.65
VERO,2018-01-30,78.9,89.25,76.35,79.2
VERO,2018-01-31,79.95,79.95,75.0,76.35
VERO,2018-02-01,75.9,77.25,71.1,76.05
VERO,2018-02-02,76.35,80.1,74.7,78.6
VERO,2018-02-05,78.75,82.05,78.75,80.4
VERO,2018-02-06,79.95,81.9,72.15,72.45
VERO,2018-02-07,72.3,72.3,63.15,64.95
VERO,2018-02-08,75.0,75.0,65.4,69.6
VERO,2018-02-09,69.6,70.5,65.25,66.6
VERO,2018-02-12,66.15,66.75,64.695,66.3
VERO,2018-02-13,66.3,68.7,63.15,67.5
VERO,2018-02-14,72.75,85.95,70.5,75.0
VERO,2018-02-15,75.45,83.85,75.0,76.2
VERO,2018-02-16,76.5,78.75,68.7,69.45
VERO,2018-02-20,70.05,72.75,69.45,70.35
VERO,2018-02-21,69.75,97.5,69.66,95.4
VERO,2018-02-22,87.9,107.55,86.685,96.9
VERO,2018-02-23,96.0,96.0,88.65,91.65
VERO,2018-02-26,90.3,93.57,87.15,87.75
VERO,2018-02-27,87.3,90.0,79.665,86.4
VERO,2018-02-28,78.9,86.55,78.9,84.45
VERO,2018-03-01,84.75,85.35,80.7,81.45
VERO,2018-03-02,81.9,83.85,79.35,80.1
VERO,2018-03-05,79.335,89.85,79.335,85.35
VERO,2018-03-06,89.25,96.0,88.5,91.2
VERO,2018-03-07,91.95,93.75,84.15,87.75
VERO,2018-03-08,88.35,88.35,83.55,86.1
VERO,2018-03-09,86.7,88.725,84.3,87.3
VERO,2018-03-12,88.2,90.0,87.3,87.9
VERO,2018-03-13,88.2,92.7,86.97,90.0
VERO,2018-03-14,91.32,92.7,87.9,88.65
VERO,2018-03-15,90.6,104.25,88.8,102.15
VERO,2018-03-16,102.6,114.45,96.6,108.75
VERO,2018-03-19,108.0,112.35,102.75,105.75
VERO,2018-03-20,116.25,123.0,107.25,110.7
VERO,2018-03-21,111.0,115.8,110.25,114.15
VERO,2018-03-22,113.4,118.2,110.85,111.75
