ticker,date,open,high,low,close
VVPR,2015-05-27,9.75,9.8,9.73,9.73
VVPR,2015-05-28,9.72,9.74,9.72,9.74
VVPR,2015-05-29,9.74,9.74,9.74,9.74
VVPR,2015-06-01,9.74,9.74,9.74,9.74
VVPR,2015-06-02,9.75,9.78,9.75,9.78
VVPR,2015-06-03,9.78,9.78,9.78,9.78
VVPR,2015-06-04,9.79,9.79,9.77,9.77
VVPR,2015-06-05,9.77,9.77,9.77,9.77
VVPR,2015-06-08,9.77,9.77,9.77,9.77
VVPR,2015-06-09,9.77,9.77,9.77,9.77
VVPR,2015-06-10,9.77,9.77,9.77,9.77
VVPR,2015-06-11,9.8,9.8,9.75,9.75
VVPR,2015-06-12,9.75,9.75,9.75,9.75
VVPR,2015-06-15,9.8,10.0,9.75,9.76
VVPR,2015-06-16,9.76,9.77,9.76,9.77
VVPR,2015-06-17,9.79,9.79,9.79,9.79
VVPR,2015-06-18,9.79,9.79,9.79,9.79
VVPR,2015-06-19,9.79,9.79,9.79,9.79
VVPR,2015-06-22,9.77,9.77,9.77,9.77
VVPR,2015-06-23,9.77,9.77,9.77,9.77
VVPR,2015-06-24,9.77,9.77,9.77,9.77
VVPR,2015-06-25,9.8,10.02,9.8,10.02
VVPR,2015-06-26,10.02,10.02,10.02,10.02
VVPR,2015-06-29,9.82,9.82,9.82,9.82
VVPR,2015-06-30,9.83,9.83,9.83,9.83
VVPR,2015-07-01,9.77,9.77,9.77,9.77
VVPR,2015-07-02,9.77,9.77,9.77,9.77
VVPR,2015-07-06,9.85,9.85,9.85,9.85
VVPR,2015-07-07,9.85,9.85,9.85,9.85
VVPR,2015-07-08,9.85,9.85,9.85,9.85
VVPR,2015-07-09,9.85,9.85,9.85,9.85
VVPR,2015-07-10,9.79,9.79,9.79,9.79
VVPR,2015-07-13,9.79,9.79,9.79,9.79
VVPR,2015-07-14,9.8,9.8,9.8,9.8
VVPR,2015-07-15,9.8,9.8,9.8,9.8
VVPR,2015-07-16,9.8,9.8,9.8,9.8
VVPR,2015-07-17,9.8,9.8,9.8,9.8
VVPR,2015-07-20,9.8,9.8,9.8,9.8
VVPR,2015-07-21,9.8,9.8,9.8,9.8
VVPR,2015-07-22,9.8,9.8,9.8,9.8
VVPR,2015-07-23,9.8,9.8,9.8,9.8
VVPR,2015-07-24,9.8,9.8,9.8,9.8
VVPR,2015-07-27,9.8,9.8,9.8,9.8
VVPR,2015-07-28,9.8,9.8,9.8,9.8
VVPR,2015-07-29,9.8,9.85,9.8,9.85
VVPR,2015-07-30,9.82,10.3,9.82,9.83
VVPR,2015-07-31,9.82,9.95,9.8,9.8
VVPR,2015-08-03,9.85,9.87,9.8,9.8
VVPR,2015-08-04,9.82,9.83,9.8,9.83
VVPR,2015-08-05,9.82,9.88,9.82,9.84
VVPR,2015-08-06,9.84,9.84,9.84,9.84
VVPR,2015-08-07,9.84,9.84,9.84,9.84
VVPR,2015-08-10,9.88,9.9,9.8,9.85
VVPR,2015-08-11,9.85,9.85,9.85,9.85
VVPR,2015-08-12,9.85,9.85,9.85,9.85
VVPR,2015-08-13,9.85,9.85,9.85,9.85
VVPR,2015-08-14,9.85,9.85,9.85,9.85
VVPR,2015-08-17,9.85,9.85,9.85,9.85
VVPR,2015-08-18,9.85,9.85,9.85,9.85
VVPR,2015-08-19,9.85,9.85,9.85,9.85
VVPR,2015-08-20,9.85,9.85,9.85,9.85
VVPR,2015-08-21,9.85,9.85,9.85,9.85
VVPR,2015-08-24,9.85,9.85,9.85,9.85
VVPR,2015-08-25,9.85,9.85,9.85,9.85
VVPR,2015-08-26,9.85,9.85,9.85,9.85
VVPR,2015-08-27,9.85,9.85,9.85,9.85
VVPR,2015-08-28,9.85,9.85,9.85,9.85
VVPR,2015-08-31,9.85,9.85,9.85,9.85
VVPR,2015-09-01,9.85,9.85,9.85,9.85
VVPR,2015-09-02,9.85,9.85,9.85,9.85
VVPR,2015-09-03,9.85,9.85,9.85,9.85
VVPR,2015-09-04,9.85,9.85,9.85,9.85
VVPR,2015-09-08,9.81,9.81,9.81,9.81
VVPR,2015-09-09,9.83,9.83,9.83,9.83
VVPR,2015-09-10,9.83,9.83,9.83,9.83
VVPR,2015-09-11,9.83,9.83,9.83,9.83
VVPR,2015-09-14,9.83,9.83,9.83,9.83
VVPR,2015-09-15,9.83,9.83,9.83,9.83
VVPR,2015-09-16,9.83,9.83,9.83,9.83
VVPR,2015-09-17,9.83,9.83,9.83,9.83
VVPR,2015-09-18,9.83,9.83,9.83,9.83
VVPR,2015-09-21,9.83,9.83,9.83,9.83
VVPR,2015-09-22,9.83,9.83,9.83,9.83
VVPR,2015-09-23,9.81,9.81,9.81,9.81
VVPR,2015-09-24,9.81,9.81,9.81,9.81
VVPR,2015-09-25,9.81,9.81,9.81,9.81
VVPR,2015-09-28,9.81,9.81,9.81,9.81
VVPR,2015-09-29,9.81,9.81,9.81,9.81
VVPR,2015-09-30,9.81,9.81,9.81,9.81
VVPR,2015-10-01,9.81,9.81,9.81,9.81
VVPR,2015-10-02,9.81,9.81,9.81,9.81
VVPR,2015-10-05,9.81,9.81,9.81,9.81
VVPR,2015-10-06,9.81,9.81,9.81,9.81
VVPR,2015-10-07,9.81,9.81,9.81,9.81
VVPR,2015-10-08,9.81,9.81,9.81,9.81
VVPR,2015-10-09,9.81,9.81,9.81,9.81
VVPR,2015-10-12,9.81,9.81,9.81,9.81
VVPR,2015-10-13,9.81,9.81,9.81,9.81
VVPR,2015-10-14,9.91,9.91,9.91,9.91
VVPR,2015-10-15,9.91,9.91,9.91,9.91
VVPR,2015-10-16,9.91,9.91,9.91,9.91
VVPR,2015-10-19,9.91,9.91,9.91,9.91
VVPR,2015-10-20,9.91,9.91,9.91,9.91
VVPR,2015-10-21,9.91,9.91,9.91,9.91
VVPR,2015-10-22,9.91,9.91,9.91,9.91
VVPR,2015-10-23,9.91,9.91,9.91,9.91
VVPR,2015-10-26,9.91,9.91,9.91,9.91
VVPR,2015-10-27,9.91,9.91,9.91,9.91
VVPR,2015-10-28,9.92,9.92,9.85,9.85
VVPR,2015-10-29,9.91,9.92,9.91,9.92
VVPR,2015-10-30,9.92,9.92,9.92,9.92
VVPR,2015-11-02,9.96,9.96,9.96,9.96
VVPR,2015-11-03,9.96,9.96,9.96,9.96
VVPR,2015-11-04,9.96,9.96,9.96,9.96
VVPR,2015-11-05,9.96,9.96,9.96,9.96
VVPR,2015-11-06,9.96,9.96,9.96,9.96
VVPR,2015-11-09,9.96,9.96,9.96,9.96
VVPR,2015-11-10,9.96,9.96,9.96,9.96
VVPR,2015-11-11,9.96,9.96,9.96,9.96
VVPR,2015-11-12,9.96,9.96,9.96,9.96
VVPR,2015-11-13,9.88,9.88,9.88,9.88
VVPR,2015-11-16,9.81,9.81,9.81,9.81
VVPR,2015-11-17,9.81,9.81,9.81,9.81
VVPR,2015-11-18,9.81,9.81,9.81,9.81
VVPR,2015-11-19,9.81,9.81,9.81,9.81
VVPR,2015-11-20,9.82,9.82,9.81,9.81
VVPR,2015-11-23,9.81,9.81,9.81,9.81
VVPR,2015-11-24,9.81,9.81,9.81,9.81
VVPR,2015-11-25,9.82,9.82,9.8,9.8
VVPR,2015-11-27,9.8,9.8,9.8,9.8
VVPR,2015-11-30,9.8,9.8,9.8,9.8
VVPR,2015-12-01,9.8,9.8,9.8,9.8
VVPR,2015-12-02,9.8,9.8,9.8,9.8
VVPR,2015-12-03,9.8,9.8,9.8,9.8
VVPR,2015-12-04,9.87,9.87,9.86,9.86
VVPR,2015-12-07,9.86,9.86,9.86,9.86
VVPR,2015-12-08,9.86,9.86,9.86,9.86
VVPR,2015-12-09,9.86,9.86,9.86,9.86
VVPR,2015-12-10,9.86,9.86,9.86,9.86
VVPR,2015-12-11,9.86,9.86,9.86,9.86
VVPR,2015-12-14,9.86,9.86,9.86,9.86
VVPR,2015-12-15,9.86,9.86,9.86,9.86
VVPR,2015-12-16,9.86,9.86,9.86,9.86
VVPR,2015-12-17,9.89,9.89,9.89,9.89
VVPR,2015-12-18,9.89,9.89,9.89,9.89
VVPR,2015-12-21,9.89,9.89,9.89,9.89
VVPR,2015-12-22,9.89,9.89,9.89,9.89
VVPR,2015-12-23,9.89,9.89,9.89,9.89
VVPR,2015-12-24,9.89,9.89,9.89,9.89
VVPR,2015-12-28,9.89,9.89,9.89,9.89
VVPR,2015-12-29,9.89,9.89,9.89,9.89
VVPR,2015-12-30,9.89,9.89,9.89,9.89
VVPR,2015-12-31,9.82,9.82,9.82,9.82
VVPR,2016-01-04,9.75,9.82,9.75,9.82
VVPR,2016-01-05,9.82,9.82,9.82,9.82
VVPR,2016-01-06,9.82,9.82,9.82,9.82
VVPR,2016-01-07,9.82,9.82,9.82,9.82
VVPR,2016-01-08,9.79,9.84,9.79,9.84
VVPR,2016-01-11,9.77,9.77,9.77,9.77
VVPR,2016-01-12,9.77,9.77,9.77,9.77
VVPR,2016-01-13,9.77,9.77,9.77,9.77
VVPR,2016-01-14,9.77,9.77,9.77,9.77
VVPR,2016-01-15,9.77,9.77,9.77,9.77
VVPR,2016-01-19,9.77,9.77,9.77,9.77
VVPR,2016-01-20,9.77,9.77,9.77,9.77
VVPR,2016-01-21,9.77,9.77,9.77,9.77
VVPR,2016-01-22,9.77,9.77,9.77,9.77
VVPR,2016-01-25,9.83,9.83,9.76,9.83
VVPR,2016-01-26,9.83,9.83,9.83,9.83
VVPR,2016-01-27,9.83,9.83,9.83,9.83
VVPR,2016-01-28,9.82,9.82,9.82,9.82
VVPR,2016-01-29,9.82,9.82,9.82,9.82
VVPR,2016-02-01,9.82,9.82,9.82,9.82
VVPR,2016-02-02,9.87,9.87,9.87,9.87
VVPR,2016-02-03,9.87,9.87,9.87,9.87
VVPR,2016-02-04,9.85,9.88,9.85,9.88
VVPR,2016-02-05,9.88,9.88,9.88,9.88
VVPR,2016-02-08,9.88,9.88,9.88,9.88
VVPR,2016-02-09,9.88,9.88,9.88,9.88
VVPR,2016-02-10,9.88,9.88,9.88,9.88
VVPR,2016-02-11,9.88,9.88,9.88,9.88
VVPR,2016-02-12,9.88,9.88,9.88,9.88
VVPR,2016-02-16,9.88,9.88,9.88,9.88
VVPR,2016-02-17,9.88,9.88,9.88,9.88
VVPR,2016-02-18,9.88,9.88,9.88,9.88
VVPR,2016-02-19,9.88,9.89,9.88,9.89
VVPR,2016-02-22,9.89,9.89,9.89,9.89
VVPR,2016-02-23,9.89,9.89,9.89,9.89
VVPR,2016-02-24,9.89,9.89,9.89,9.89
VVPR,2016-02-25,9.89,9.89,9.89,9.89
VVPR,2016-02-26,9.89,9.89,9.89,9.89
VVPR,2016-02-29,9.89,9.89,9.89,9.89
VVPR,2016-03-01,9.89,9.89,9.89,9.89
VVPR,2016-03-02,9.89,9.89,9.89,9.89
VVPR,2016-03-03,9.92,9.92,9.92,9.92
VVPR,2016-03-04,9.92,9.92,9.92,9.92
VVPR,2016-03-07,9.92,9.92,9.92,9.92
VVPR,2016-03-08,9.92,9.92,9.92,9.92
VVPR,2016-03-09,9.94,9.94,9.94,9.94
VVPR,2016-03-10,9.94,9.94,9.94,9.94
VVPR,2016-03-11,9.94,9.94,9.94,9.94
VVPR,2016-03-14,9.94,9.94,9.94,9.94
VVPR,2016-03-15,9.94,9.95,9.94,9.95
VVPR,2016-03-16,9.95,9.95,9.95,9.95
VVPR,2016-03-17,9.95,9.95,9.95,9.95
VVPR,2016-03-18,9.95,9.95,9.95,9.95
VVPR,2016-03-21,9.99,9.99,9.99,9.99
VVPR,2016-03-22,9.95,9.95,9.95,9.95
VVPR,2016-03-23,9.95,9.95,9.95,9.95
VVPR,2016-03-24,9.95,9.95,9.95,9.95
VVPR,2016-03-28,9.95,9.95,9.95,9.95
VVPR,2016-03-29,9.95,9.95,9.95,9.95
VVPR,2016-03-30,9.95,9.95,9.95,9.95
VVPR,2016-03-31,9.95,9.95,9.95,9.95
