ticker,date,open,high,low,close
WLGS,2023-04-20,5.8,5.9,2.88,3.1
WLGS,2023-04-21,4.0,5.09,2.93,3.14
WLGS,2023-04-24,2.36,2.77,2.3533,2.71
WLGS,2023-04-25,2.49,2.67,2.25,2.29
WLGS,2023-04-26,2.12,2.1493,1.74,1.81
WLGS,2023-04-27,1.92,2.16,1.81,1.84
WLGS,2023-04-28,2.25,2.56,2.15,2.22
WLGS,2023-05-01,1.85,3.22,1.7727,2.34
WLGS,2023-05-02,1.96,2.76,1.96,2.48
WLGS,2023-05-03,2.13,2.64,2.0801,2.36
WLGS,2023-05-04,2.29,2.41,2.05,2.1
WLGS,2023-05-05,2.02,2.11,1.86,1.88
WLGS,2023-05-08,1.9,1.98,1.65,1.72
WLGS,2023-05-09,1.65,1.75,1.6,1.619
WLGS,2023-05-10,1.67,1.71,1.53,1.59
WLGS,2023-05-11,1.57,1.65,1.44,1.4503
WLGS,2023-05-12,1.47,1.5,1.36,1.3762
WLGS,2023-05-15,1.35,1.47,1.33,1.35
WLGS,2023-05-16,1.3531,1.44,1.32,1.32
WLGS,2023-05-17,1.31,1.42,1.3,1.32
WLGS,2023-05-18,2.09,2.45,1.65,1.91
WLGS,2023-05-19,1.83,1.86,1.62,1.75
WLGS,2023-05-22,1.73,1.95,1.73,1.82
WLGS,2023-05-23,1.96,2.13,1.75,1.92
WLGS,2023-05-24,1.91,1.95,1.65,1.69
WLGS,2023-05-25,1.69,1.74,1.58,1.63
WLGS,2023-05-26,1.58,1.67,1.46,1.46
WLGS,2023-05-30,1.47,1.49,1.39,1.39
WLGS,2023-05-31,2.009,2.01,1.5002,1.7
WLGS,2023-06-01,1.56,1.7,1.51,1.65
WLGS,2023-06-02,1.65,1.97,1.65,1.8
WLGS,2023-06-05,1.73,1.9,1.71,1.72
WLGS,2023-06-06,1.72,1.73,1.55,1.55
WLGS,2023-06-07,1.72,1.94,1.7,1.93
WLGS,2023-06-08,1.8303,1.95,1.75,1.81
WLGS,2023-06-09,1.83,1.849,1.74,1.75
WLGS,2023-06-12,1.77,1.85,1.6101,1.75
WLGS,2023-06-13,1.75,1.84,1.68,1.78
WLGS,2023-06-14,1.7932,1.7932,1.71,1.77
WLGS,2023-06-15,1.73,1.79,1.68,1.72
WLGS,2023-06-16,1.69,1.73,1.625,1.69
WLGS,2023-06-20,1.6,1.65,1.59,1.64
WLGS,2023-06-21,1.615,1.7,1.55,1.59
WLGS,2023-06-22,1.56,1.64,1.45,1.48
WLGS,2023-06-23,1.51,1.55,1.48,1.5097
WLGS,2023-06-26,1.47,1.5483,1.45,1.5
WLGS,2023-06-27,1.55,1.55,1.45,1.49
WLGS,2023-06-28,1.47,1.4943,1.37,1.45
WLGS,2023-06-29,1.42,1.48,1.37,1.39
WLGS,2023-06-30,1.38,1.41,1.32,1.36
WLGS,2023-07-03,1.41,1.44,1.3627,1.37
WLGS,2023-07-05,1.37,1.42,1.36,1.37
WLGS,2023-07-06,1.4057,1.4057,1.17,1.256
WLGS,2023-07-07,1.3,1.45,1.245,1.3
WLGS,2023-07-10,1.3,1.38,1.23,1.29
WLGS,2023-07-11,1.26,1.57,1.26,1.56
WLGS,2023-07-12,1.43,1.44,1.28,1.3
WLGS,2023-07-13,1.33,1.33,1.2201,1.28
WLGS,2023-07-14,1.28,1.28,1.22,1.22
WLGS,2023-07-17,1.2491,1.27,1.2,1.24
WLGS,2023-07-18,1.24,1.28,1.21,1.24
WLGS,2023-07-19,1.255,1.27,1.15,1.22
WLGS,2023-07-20,1.2,1.2399,1.16,1.2
WLGS,2023-07-21,1.16,1.22,1.15,1.16
WLGS,2023-07-24,1.15,1.18,1.03,1.12
WLGS,2023-07-25,1.1,1.12,1.05,1.05
WLGS,2023-07-26,1.12,1.1598,1.05,1.1
WLGS,2023-07-27,1.15,1.15,1.02,1.04
WLGS,2023-07-28,1.05,1.08,1.0,1.0499
WLGS,2023-07-31,1.08,1.08,1.02,1.06
WLGS,2023-08-01,1.01,1.08,1.0,1.05
WLGS,2023-08-02,1.0217,1.03,0.9105,0.9598
WLGS,2023-08-03,0.96,0.9601,0.7847,0.8684
WLGS,2023-08-04,0.880481,0.8805,0.781,0.8199
WLGS,2023-08-07,0.8,0.8924,0.7401,0.84
WLGS,2023-08-08,0.8148,0.8245,0.7701,0.807
WLGS,2023-08-09,0.823,0.863,0.7911,0.815
WLGS,2023-08-10,0.8,0.8433,0.77,0.8088
WLGS,2023-08-11,0.809899,1.19,0.790101,1.11
WLGS,2023-08-14,0.8505,1.01,0.8099,0.988
WLGS,2023-08-15,0.9101,0.9849,0.9101,0.9553
WLGS,2023-08-16,0.901,0.9398,0.860101,0.8605
WLGS,2023-08-17,0.8673,0.8957,0.831,0.841
WLGS,2023-08-18,0.83,0.9157,0.8139,0.851
WLGS,2023-08-21,0.936999,0.947,0.8401,0.8801
WLGS,2023-08-22,0.8782,0.92,0.865001,0.919
WLGS,2023-08-23,0.8901,0.9191,0.88,0.881
WLGS,2023-08-24,0.8801,0.9499,0.86,0.9
WLGS,2023-08-25,0.9,0.925,0.89,0.89
WLGS,2023-08-28,0.9,0.9,0.8371,0.85
WLGS,2023-08-29,0.949999,0.949999,0.82,0.821
WLGS,2023-08-30,0.845,0.889,0.84,0.889
WLGS,2023-08-31,0.82,0.8999,0.8,0.835
WLGS,2023-09-01,0.83,0.89,0.83,0.8549
WLGS,2023-09-05,0.8378,0.8604,0.83,0.8376
WLGS,2023-09-06,0.831,0.889,0.831,0.8494
WLGS,2023-09-07,0.848999,0.848999,0.82,0.822
WLGS,2023-09-08,0.82,1.46,0.82,1.01
WLGS,2023-09-11,0.8852,0.8947,0.8096,0.865
WLGS,2023-09-12,0.8303,0.8999,0.8303,0.8403
WLGS,2023-09-13,0.83,0.8999,0.8181,0.8999
WLGS,2023-09-14,0.88,0.88,0.82,0.84
WLGS,2023-09-15,0.84,0.8799,0.84,0.86325
WLGS,2023-09-18,0.8633,0.8633,0.84,0.8501
WLGS,2023-09-19,0.8501,0.8801,0.84,0.8801
WLGS,2023-09-20,0.874,0.879,0.8431,0.8441
WLGS,2023-09-21,0.8212,0.88,0.8212,0.822
WLGS,2023-09-22,0.8631,0.8631,0.823,0.8327
WLGS,2023-09-25,0.828,0.849,0.828,0.849
WLGS,2023-09-26,0.855,0.858,0.828,0.8384
WLGS,2023-09-27,0.8282,0.872719,0.828,0.8601
WLGS,2023-09-28,0.8281,0.869,0.828,0.84
WLGS,2023-09-29,0.84,0.86,0.832,0.832
WLGS,2023-10-02,0.84,0.88,0.84,0.85
WLGS,2023-10-03,0.8566,0.8566,0.831,0.8499
WLGS,2023-10-04,0.845201,0.874999,0.84,0.874999
WLGS,2023-10-05,0.8749,0.8749,0.8456,0.8667
