ticker,date,open,high,low,close
XBIO,2016-06-30,61.2,61.2,61.2,61.2
XBIO,2016-07-01,60.72,64.2,60.0,60.6
XBIO,2016-07-05,60.6,60.6,60.6,60.6
XBIO,2016-07-06,60.6,60.6,60.6,60.6
XBIO,2016-07-07,60.84,60.84,60.84,60.84
XBIO,2016-07-08,60.96,60.96,60.96,60.96
XBIO,2016-07-11,60.84,60.84,57.72,57.72
XBIO,2016-07-12,57.84,60.0,57.84,58.56
XBIO,2016-07-13,60.12,60.24,60.0,60.0
XBIO,2016-07-14,57.84,57.84,46.44,49.08
XBIO,2016-07-15,46.8,54.0,46.8,53.88
XBIO,2016-07-18,49.2,49.2,49.2,49.2
XBIO,2016-07-19,51.6,53.88,47.28,53.88
XBIO,2016-07-20,53.28,53.76,53.28,53.76
XBIO,2016-07-21,53.28,53.88,53.28,53.28
XBIO,2016-07-22,53.28,53.28,53.28,53.28
XBIO,2016-07-25,51.0,51.0,51.0,51.0
XBIO,2016-07-26,51.0,53.64,50.4,53.64
XBIO,2016-07-27,53.64,53.88,53.64,53.88
XBIO,2016-07-28,53.88,53.88,53.88,53.88
XBIO,2016-07-29,53.4,53.4,53.4,53.4
XBIO,2016-08-01,53.4,53.4,53.4,53.4
XBIO,2016-08-02,55.2,55.2,55.08,55.08
XBIO,2016-08-03,57.48,57.48,57.48,57.48
XBIO,2016-08-04,57.48,60.12,57.48,60.12
XBIO,2016-08-05,57.48,57.48,51.72,51.72
XBIO,2016-08-08,57.6,57.6,51.84,51.84
XBIO,2016-08-09,55.2,56.64,55.2,56.64
XBIO,2016-08-10,56.64,56.64,56.64,56.64
XBIO,2016-08-11,56.64,56.64,56.64,56.64
XBIO,2016-08-12,54.0,54.0,54.0,54.0
XBIO,2016-08-15,54.0,54.0,54.0,54.0
XBIO,2016-08-16,54.0,54.0,54.0,54.0
XBIO,2016-08-17,54.0,54.0,54.0,54.0
XBIO,2016-08-18,56.16,56.52,55.56,56.4
XBIO,2016-08-19,56.52,60.0,55.8,55.8
XBIO,2016-08-22,56.4,56.4,56.4,56.4
XBIO,2016-08-23,56.4,56.4,56.4,56.4
XBIO,2016-08-24,56.4,58.2,56.4,58.2
XBIO,2016-08-25,58.2,58.2,58.2,58.2
XBIO,2016-08-26,58.2,58.2,58.2,58.2
XBIO,2016-08-29,58.2,60.0,58.2,58.44
XBIO,2016-08-30,58.44,58.44,58.44,58.44
XBIO,2016-08-31,61.56,62.4,60.0,60.6
XBIO,2016-09-01,60.6,60.6,60.6,60.6
XBIO,2016-09-02,60.6,60.6,60.6,60.6
XBIO,2016-09-06,57.0,57.0,54.0,54.0
XBIO,2016-09-07,54.0,54.24,54.0,54.0
XBIO,2016-09-08,54.0,54.0,54.0,54.0
XBIO,2016-09-09,54.0,54.0,54.0,54.0
XBIO,2016-09-12,51.6,51.6,51.6,51.6
XBIO,2016-09-13,51.6,51.6,51.6,51.6
XBIO,2016-09-14,48.0,48.0,45.0,46.2
XBIO,2016-09-15,45.72,45.72,44.76,44.76
XBIO,2016-09-16,43.2,43.2,41.4,41.4
XBIO,2016-09-19,41.4,41.4,41.4,41.4
XBIO,2016-09-20,40.8,40.8,40.8,40.8
XBIO,2016-09-21,40.68,40.68,39.6,39.6
XBIO,2016-09-22,39.6,39.6,39.6,39.6
XBIO,2016-09-23,40.8,40.8,40.8,40.8
XBIO,2016-09-26,45.0,51.0,45.0,50.4
XBIO,2016-09-27,50.64,54.0,49.8,53.4
XBIO,2016-09-28,50.16,60.0,48.0,60.0
XBIO,2016-09-29,60.0,60.0,60.0,60.0
XBIO,2016-09-30,54.0,54.0,54.0,54.0
XBIO,2016-10-03,54.0,54.0,54.0,54.0
XBIO,2016-10-04,54.0,54.0,54.0,54.0
XBIO,2016-10-05,48.0,48.0,48.0,48.0
XBIO,2016-10-06,48.0,48.0,48.0,48.0
XBIO,2016-10-07,53.4,57.0,53.4,54.6
XBIO,2016-10-10,54.6,54.6,54.6,54.6
XBIO,2016-10-11,54.6,54.6,54.6,54.6
XBIO,2016-10-12,54.6,54.6,54.6,54.6
XBIO,2016-10-13,54.6,54.6,54.6,54.6
XBIO,2016-10-14,54.6,54.6,54.6,54.6
XBIO,2016-10-17,54.0,54.0,54.0,54.0
XBIO,2016-10-18,52.8,52.8,52.8,52.8
XBIO,2016-10-19,52.8,52.8,52.8,52.8
XBIO,2016-10-20,52.8,52.8,52.8,52.8
XBIO,2016-10-21,52.8,52.8,52.8,52.8
XBIO,2016-10-24,48.0,57.0,48.0,57.0
XBIO,2016-10-25,56.4,56.4,54.0,54.0
XBIO,2016-10-26,53.28,54.0,53.28,54.0
XBIO,2016-10-27,52.8,54.6,52.8,54.0
XBIO,2016-10-28,57.0,57.0,55.92,57.0
XBIO,2016-10-31,55.2,55.2,55.2,55.2
XBIO,2016-11-01,54.6,57.0,54.0,57.0
XBIO,2016-11-02,54.0,54.0,48.0,51.0
XBIO,2016-11-03,48.0,48.0,48.0,48.0
XBIO,2016-11-04,48.0,48.0,48.0,48.0
XBIO,2016-11-07,49.8,49.8,49.8,49.8
XBIO,2016-11-08,49.8,49.8,49.8,49.8
XBIO,2016-11-09,48.0,48.0,48.0,48.0
XBIO,2016-11-10,49.2,49.2,41.88,41.916
XBIO,2016-11-11,42.0,42.0,40.74,41.664
XBIO,2016-11-14,41.664,41.664,41.664,41.664
XBIO,2016-11-15,41.868,42.0,40.8,40.8
XBIO,2016-11-16,40.8,40.8,40.8,40.8
XBIO,2016-11-17,39.72,42.0,39.72,40.98
XBIO,2016-11-18,45.0,45.0,42.0,42.0
XBIO,2016-11-21,45.0,45.0,39.84,41.832
XBIO,2016-11-22,42.0,42.0,40.968,40.968
XBIO,2016-11-23,45.0,45.0,45.0,45.0
XBIO,2016-11-25,42.0,42.24,41.592,42.0
XBIO,2016-11-28,43.2,43.2,42.0,42.0
XBIO,2016-11-29,40.8,40.8,40.8,40.8
XBIO,2016-11-30,42.6,44.64,42.6,44.64
XBIO,2016-12-01,44.64,44.64,40.8,40.8
XBIO,2016-12-02,42.0,42.0,40.884,40.884
XBIO,2016-12-05,41.88,41.88,41.88,41.88
XBIO,2016-12-06,40.8,40.8,40.56,40.8
XBIO,2016-12-07,40.8,40.8,40.68,40.74
XBIO,2016-12-08,42.0,42.0,41.988,42.0
XBIO,2016-12-09,40.884,40.884,40.884,40.884
XBIO,2016-12-12,44.52,44.52,44.52,44.52
XBIO,2016-12-13,42.168,44.16,40.752,44.16
XBIO,2016-12-14,42.0,44.16,42.0,44.16
XBIO,2016-12-15,44.16,44.16,42.0,44.16
XBIO,2016-12-16,44.16,44.16,41.64,41.64
XBIO,2016-12-19,42.6,43.8,40.5,41.976
XBIO,2016-12-20,43.8,43.8,41.592,42.792
XBIO,2016-12-21,43.8,43.8,42.0,42.672
XBIO,2016-12-22,43.2,43.2,42.0,42.72
XBIO,2016-12-23,43.56,43.8,42.96,43.8
XBIO,2016-12-27,43.8,43.8,42.24,43.8
XBIO,2016-12-28,43.8,46.74,42.48,45.0
XBIO,2016-12-29,45.0,45.6,44.04,45.6
XBIO,2016-12-30,57.6,68.4,46.2,51.6
XBIO,2017-01-03,54.0,66.24,51.6,64.788
XBIO,2017-01-04,66.84,69.0,52.2,58.392
XBIO,2017-01-05,57.24,60.0,54.768,55.32
XBIO,2017-01-06,60.96,63.6,54.6,57.264
XBIO,2017-01-09,59.88,59.88,52.8,56.784
XBIO,2017-01-10,54.876,56.28,52.8,55.2
XBIO,2017-01-11,55.8,55.8,52.356,54.0
XBIO,2017-01-12,51.876,55.68,51.72,54.0
XBIO,2017-01-13,52.86,54.168,52.86,53.916
XBIO,2017-01-17,52.8,54.36,52.8,53.94
XBIO,2017-01-18,54.12,57.228,54.12,57.228
XBIO,2017-01-19,56.4,59.28,55.2,58.68
XBIO,2017-01-20,55.8,58.32,55.8,58.32
XBIO,2017-01-23,58.2,59.904,57.012,57.012
XBIO,2017-01-24,55.92,59.112,55.8,59.112
XBIO,2017-01-25,57.84,59.352,56.04,56.52
XBIO,2017-01-26,58.2,58.2,56.4,56.448
XBIO,2017-01-27,56.448,56.448,56.448,56.448
XBIO,2017-01-30,56.16,56.16,56.16,56.16
XBIO,2017-01-31,55.2,59.52,54.6,59.16
XBIO,2017-02-01,54.48,59.712,52.2,59.04
XBIO,2017-02-02,56.04,57.096,55.8,57.096
XBIO,2017-02-03,54.564,55.2,54.564,55.2
XBIO,2017-02-06,59.64,59.64,54.648,54.648
XBIO,2017-02-07,54.84,55.8,54.84,55.8
XBIO,2017-02-08,55.8,55.8,55.8,55.8
XBIO,2017-02-09,57.6,59.04,57.6,57.6
XBIO,2017-02-10,58.764,58.8,58.2,58.404
XBIO,2017-02-13,57.288,57.3,55.2,55.2
XBIO,2017-02-14,58.284,58.284,54.48,54.48
XBIO,2017-02-15,54.0,54.084,52.56,54.084
XBIO,2017-02-16,54.42,54.48,54.072,54.384
XBIO,2017-02-17,52.8,53.88,52.8,53.88
XBIO,2017-02-21,54.204,54.204,52.776,52.776
XBIO,2017-02-22,52.776,52.776,52.776,52.776
XBIO,2017-02-23,54.096,54.396,54.096,54.384
XBIO,2017-02-24,54.384,54.384,54.384,54.384
XBIO,2017-02-27,52.656,52.656,46.188,49.8
XBIO,2017-02-28,52.68,52.68,49.08,50.064
XBIO,2017-03-01,49.08,50.496,49.08,49.488
XBIO,2017-03-02,49.8,52.428,49.2,52.428
XBIO,2017-03-03,52.428,52.428,52.428,52.428
XBIO,2017-03-06,51.12,51.12,45.0,48.3
XBIO,2017-03-07,47.4,47.4,45.6,47.4
XBIO,2017-03-08,47.16,49.2,47.16,49.2
XBIO,2017-03-09,50.892,50.892,45.84,49.2
XBIO,2017-03-10,48.0,48.0,44.628,45.36
XBIO,2017-03-13,48.624,49.08,40.56,46.8
XBIO,2017-03-14,42.72,44.52,39.96,44.4
XBIO,2017-03-15,50.28,50.28,43.08,49.596
XBIO,2017-03-16,47.28,49.2,47.04,47.34
XBIO,2017-03-17,49.68,49.68,46.8,46.8
XBIO,2017-03-20,46.8,46.8,46.8,46.8
XBIO,2017-03-21,46.68,46.68,42.0,44.4
XBIO,2017-03-22,42.0,46.2,42.0,46.104
XBIO,2017-03-23,43.02,45.048,42.6,45.048
XBIO,2017-03-24,46.704,46.704,46.704,46.704
XBIO,2017-03-27,45.0,45.0,43.944,45.0
XBIO,2017-03-28,45.0,45.0,40.8,44.16
XBIO,2017-03-29,44.16,46.68,43.32,45.276
XBIO,2017-03-30,46.8,67.32,46.44,65.28
XBIO,2017-03-31,70.8,70.8,54.12,54.6
XBIO,2017-04-03,54.36,57.72,54.0,54.84
XBIO,2017-04-04,54.0,54.0,48.12,48.6
XBIO,2017-04-05,54.0,54.0,48.744,50.16
XBIO,2017-04-06,52.8,52.8,50.52,51.36
XBIO,2017-04-07,48.816,50.88,48.24,50.88
XBIO,2017-04-10,50.004,50.52,49.56,49.848
XBIO,2017-04-11,49.392,50.4,48.24,50.4
XBIO,2017-04-12,50.04,51.84,48.72,50.52
XBIO,2017-04-13,48.96,53.4,48.96,52.8
XBIO,2017-04-17,50.4,56.4,50.4,50.4
XBIO,2017-04-18,51.0,58.32,49.752,54.84
XBIO,2017-04-19,54.36,58.632,54.0,55.572
XBIO,2017-04-20,55.44,55.56,53.232,54.0
XBIO,2017-04-21,54.0,57.0,52.8,53.04
XBIO,2017-04-24,53.76,55.56,53.52,54.276
XBIO,2017-04-25,52.104,54.0,51.0,54.0
XBIO,2017-04-26,55.8,56.4,54.0,54.84
XBIO,2017-04-27,56.688,56.688,52.32,54.84
XBIO,2017-04-28,56.4,58.2,52.8,56.256
XBIO,2017-05-01,52.92,54.0,49.92,53.16
XBIO,2017-05-02,53.4,56.4,53.16,53.16
XBIO,2017-05-03,52.8,54.0,52.284,53.64
XBIO,2017-05-04,53.4,58.08,53.16,53.64
XBIO,2017-05-05,54.6,55.32,50.76,52.44
XBIO,2017-05-08,52.2,53.916,48.6,48.6
XBIO,2017-05-09,48.12,50.652,47.04,47.4
XBIO,2017-05-10,48.264,48.264,45.0,45.0
XBIO,2017-05-11,44.88,46.068,43.2,43.32
XBIO,2017-05-12,42.6,43.644,38.4,38.4
XBIO,2017-05-15,39.0,41.04,38.4,38.4
XBIO,2017-05-16,39.48,39.48,32.4,34.416
XBIO,2017-05-17,36.0,38.4,35.52,35.52
XBIO,2017-05-18,35.28,38.28,34.8,35.88
XBIO,2017-05-19,35.64,39.0,34.8,39.0
XBIO,2017-05-22,33.24,39.36,28.2,39.36
XBIO,2017-05-23,47.28,47.4,39.216,42.6
XBIO,2017-05-24,42.84,42.84,38.52,38.556
XBIO,2017-05-25,41.88,42.0,38.52,38.52
XBIO,2017-05-26,39.564,41.76,38.88,41.76
XBIO,2017-05-30,39.6,41.16,38.76,39.36
XBIO,2017-05-31,38.4,38.4,37.44,37.44
