ticker,date,open,high,low,close
XBIT,2015-04-15,23.0,25.36,21.67,23.25
XBIT,2015-04-16,23.56,24.74,22.61,22.71
XBIT,2015-04-17,23.0,27.0,22.94,26.18
XBIT,2015-04-20,27.57,32.17,27.0,31.5
XBIT,2015-04-21,32.46,32.5,26.67,27.37
XBIT,2015-04-22,29.0,29.88,27.35,27.55
XBIT,2015-04-23,27.5,29.59,27.0,27.44
XBIT,2015-04-24,27.5,27.68,22.5,22.94
XBIT,2015-04-27,23.37,23.97,19.55,19.95
XBIT,2015-04-28,19.95,20.99,19.61,19.89
XBIT,2015-04-29,20.05,21.0,19.7,19.94
XBIT,2015-04-30,20.0,21.5,18.25,18.25
XBIT,2015-05-01,18.71,19.32,17.06,17.64
XBIT,2015-05-04,17.98,19.74,17.98,18.66
XBIT,2015-05-05,19.09,19.5,17.17,18.2
XBIT,2015-05-06,18.1,18.88,17.52,17.63
XBIT,2015-05-07,18.0,18.46,17.98,18.23
XBIT,2015-05-08,18.94,19.74,18.63,19.095
XBIT,2015-05-11,19.5,21.261,19.5,20.14
XBIT,2015-05-12,20.5,20.9,20.0,20.2
XBIT,2015-05-13,21.43,21.69,20.25,20.75
XBIT,2015-05-14,20.64,20.64,19.61,19.74
XBIT,2015-05-15,19.64,21.18,19.39,19.93
XBIT,2015-05-18,20.1,20.24,19.5,19.75
XBIT,2015-05-19,20.24,20.34,18.02,18.42
XBIT,2015-05-20,18.59,19.55,18.25,18.84
XBIT,2015-05-21,18.85,19.6,18.784,19.05
XBIT,2015-05-22,19.4,21.0,19.0,20.59
XBIT,2015-05-26,20.9,21.56,20.0,20.22
XBIT,2015-05-27,22.22,22.9,20.0,20.01
XBIT,2015-05-28,20.63,20.63,19.5,19.92
XBIT,2015-05-29,19.84,20.35,18.9,19.12
XBIT,2015-06-01,19.29,19.74,17.9,18.59
XBIT,2015-06-02,18.9,19.725,18.0,19.19
XBIT,2015-06-03,19.5,20.75,19.27,20.6
XBIT,2015-06-04,20.4,20.74,19.19,19.31
XBIT,2015-06-05,19.79,20.42,19.45,20.2
XBIT,2015-06-08,20.2,20.95,19.61,20.93
XBIT,2015-06-09,20.75,21.9,20.26,21.69
XBIT,2015-06-10,21.9,22.33,21.24,22.01
XBIT,2015-06-11,22.15,22.15,21.6,22.0
XBIT,2015-06-12,22.13,22.15,21.7,22.15
XBIT,2015-06-15,22.5,22.79,21.63,21.99
XBIT,2015-06-16,22.3,22.82,20.65,20.68
