ticker,date,open,high,low,close
XRTX,2021-09-23,5.201,5.49,4.9,5.013
XRTX,2021-09-24,5.119,5.119,4.63,4.63
XRTX,2021-09-27,4.39,4.39,4.01,4.27
XRTX,2021-09-28,4.2,4.34,3.896,4.21
XRTX,2021-09-29,4.31,4.43,4.238,4.26
XRTX,2021-09-30,4.36,4.85,4.36,4.785
XRTX,2021-10-01,4.765,4.88,4.67,4.88
XRTX,2021-10-04,5.607,5.65,5.34,5.64
XRTX,2021-10-05,5.845,6.12,5.7,5.844
XRTX,2021-10-06,5.63,5.63,5.26,5.46
XRTX,2021-10-07,5.5,5.5,5.05,5.1
XRTX,2021-10-08,5.36,5.36,4.96,4.96
XRTX,2021-10-11,4.92,5.55,4.89,5.53
XRTX,2021-10-12,5.3,5.39,4.49,4.768
XRTX,2021-10-13,3.39,3.48,3.14,3.14
XRTX,2021-10-14,3.233,3.35,3.14,3.22
XRTX,2021-10-15,3.35,3.35,2.9,3.02
XRTX,2021-10-18,3.15,3.15,2.837,2.93
XRTX,2021-10-19,2.97,2.97,2.61,2.67
XRTX,2021-10-20,2.75,2.78,2.56,2.6
XRTX,2021-10-21,2.67,3.07,2.49,2.95
XRTX,2021-10-22,2.99,3.1,2.79,2.83
XRTX,2021-10-25,2.74,2.94,2.66,2.67
XRTX,2021-10-26,2.67,2.71,2.6,2.61
XRTX,2021-10-27,2.615,2.72,2.56,2.59
XRTX,2021-10-28,2.61,2.65,2.51,2.53
XRTX,2021-10-29,2.6,2.87,2.58,2.82
XRTX,2021-11-01,2.73,2.81,2.61,2.66
XRTX,2021-11-02,2.75,2.84,2.61,2.73
XRTX,2021-11-03,2.89,4.23,2.89,3.87
XRTX,2021-11-04,4.91,5.89,3.12,4.0
XRTX,2021-11-05,3.76,3.93,2.93,3.88
XRTX,2021-11-08,3.47,3.74,3.25,3.72
XRTX,2021-11-09,3.38,3.64,3.2,3.21
XRTX,2021-11-10,3.2,3.3,2.97,3.11
XRTX,2021-11-11,3.03,3.065,2.82,2.98
XRTX,2021-11-12,2.92,2.97,2.66,2.75
XRTX,2021-11-15,2.88,3.15,2.7,3.0
XRTX,2021-11-16,3.07,3.07,2.79,2.88
XRTX,2021-11-17,2.89,2.905,2.72,2.73
XRTX,2021-11-18,2.7,2.73,2.52,2.6
XRTX,2021-11-19,2.582,2.69,2.53,2.65
XRTX,2021-11-22,2.7,2.7,2.44,2.64
XRTX,2021-11-23,2.51,2.59,2.41,2.42
XRTX,2021-11-24,2.42,2.49,2.35,2.44
XRTX,2021-11-26,2.4,2.435,2.36,2.36
XRTX,2021-11-29,2.43,2.43,2.23,2.37
XRTX,2021-11-30,2.42,2.42,2.12,2.33
XRTX,2021-12-01,2.442,2.442,2.2,2.22
XRTX,2021-12-02,2.205,2.239,2.04,2.08
XRTX,2021-12-03,2.02,2.07,1.806,1.99
XRTX,2021-12-06,1.95,1.96,1.78,1.89
XRTX,2021-12-07,1.98,2.25,1.941,2.15
XRTX,2021-12-08,2.12,2.38,2.05,2.28
XRTX,2021-12-09,2.31,2.61,2.31,2.35
XRTX,2021-12-10,2.37,2.48,2.18,2.2
XRTX,2021-12-13,2.21,2.25,2.03,2.07
XRTX,2021-12-14,2.13,2.14,1.85,1.9
XRTX,2021-12-15,1.96,2.0,1.75,1.9
XRTX,2021-12-16,2.18,2.18,1.82,1.87
XRTX,2021-12-17,1.85,2.0,1.806,1.99
XRTX,2021-12-20,2.01,2.03,1.85,1.94
XRTX,2021-12-21,2.0,2.06,1.95,1.96
XRTX,2021-12-22,1.914,2.01,1.87,1.98
XRTX,2021-12-23,2.0,2.07,1.88,2.0
XRTX,2021-12-27,1.96,2.07,1.8,1.85
XRTX,2021-12-28,1.87,1.98,1.73,1.8
XRTX,2021-12-29,1.955,2.08,1.92,1.93
XRTX,2021-12-30,2.08,2.12,1.975,2.03
XRTX,2021-12-31,1.99,2.08,1.94,2.05
XRTX,2022-01-03,2.1,2.18,1.959,2.15
XRTX,2022-01-04,2.15,2.189,2.07,2.15
XRTX,2022-01-05,2.15,2.15,1.98,2.06
XRTX,2022-01-06,1.96,2.06,1.96,2.0
XRTX,2022-01-07,1.96,1.98,1.9,1.9
XRTX,2022-01-10,1.932,2.14,1.9,1.9
XRTX,2022-01-11,1.9,2.05,1.89,2.05
XRTX,2022-01-12,2.05,2.05,1.85,1.89
XRTX,2022-01-13,1.9,1.96,1.805,1.93
XRTX,2022-01-14,1.87,1.98,1.84,1.97
XRTX,2022-01-18,1.95,2.03,1.83,1.85
XRTX,2022-01-19,1.83,1.83,1.75,1.77
XRTX,2022-01-20,1.84,1.84,1.75,1.8
XRTX,2022-01-21,1.76,1.76,1.66,1.71
XRTX,2022-01-24,1.67,1.67,1.46,1.52
XRTX,2022-01-25,1.52,1.62,1.48,1.62
XRTX,2022-01-26,1.54,1.6,1.504,1.54
XRTX,2022-01-27,1.542,1.6,1.48,1.6
XRTX,2022-01-28,1.534,1.6,1.532,1.6
XRTX,2022-01-31,1.51,1.6,1.45,1.54
XRTX,2022-02-01,1.59,1.72,1.59,1.72
XRTX,2022-02-02,1.7,1.7,1.59,1.69
XRTX,2022-02-03,1.69,1.69,1.59,1.635
XRTX,2022-02-04,1.63,1.63,1.56,1.56
XRTX,2022-02-07,1.6,1.66,1.57,1.66
XRTX,2022-02-08,1.65,1.78,1.645,1.78
XRTX,2022-02-09,1.7,1.765,1.65,1.66
