ticker,date,open,high,low,close
XRX,1962-01-02,0.0,4.71,4.66,4.68
XRX,1962-01-03,0.0,4.77,4.71,4.77
XRX,1962-01-04,0.0,4.87,4.74,4.74
XRX,1962-01-05,0.0,4.74,4.54,4.63
XRX,1962-01-08,0.0,4.59,4.36,4.39
XRX,1962-01-09,0.0,4.52,4.36,4.42
XRX,1962-01-10,0.0,4.42,4.37,4.37
XRX,1962-01-11,0.0,4.52,4.37,4.52
XRX,1962-01-12,0.0,4.56,4.48,4.49
XRX,1962-01-15,0.0,4.52,4.38,4.38
XRX,1962-01-16,0.0,4.36,4.25,4.26
XRX,1962-01-17,0.0,4.35,4.25,4.3
XRX,1962-01-18,0.0,4.33,4.1,4.13
XRX,1962-01-19,0.0,4.18,3.95,4.0
XRX,1962-01-22,0.0,3.98,3.81,3.89
XRX,1962-01-23,0.0,3.92,3.82,3.88
XRX,1962-01-24,0.0,3.98,3.83,3.98
XRX,1962-01-25,0.0,4.09,4.04,4.04
XRX,1962-01-26,0.0,4.19,4.04,4.15
XRX,1962-01-29,0.0,4.17,4.11,4.11
XRX,1962-01-30,0.0,4.16,4.07,4.13
XRX,1962-01-31,0.0,4.3,4.19,4.3
XRX,1962-02-01,0.0,4.41,4.33,4.34
XRX,1962-02-02,0.0,4.37,4.32,4.32
XRX,1962-02-05,0.0,4.34,4.27,4.27
XRX,1962-02-06,0.0,4.31,4.25,4.31
XRX,1962-02-07,0.0,4.33,4.32,4.33
XRX,1962-02-08,0.0,4.57,4.37,4.47
XRX,1962-02-09,0.0,4.44,4.29,4.33
XRX,1962-02-12,0.0,4.5,4.37,4.5
XRX,1962-02-13,0.0,4.56,4.49,4.54
XRX,1962-02-14,0.0,4.54,4.51,4.52
XRX,1962-02-15,0.0,4.54,4.46,4.52
XRX,1962-02-16,0.0,4.61,4.54,4.55
XRX,1962-02-19,0.0,4.55,4.43,4.46
XRX,1962-02-20,0.0,4.49,4.43,4.44
XRX,1962-02-21,0.0,4.52,4.46,4.52
XRX,1962-02-23,0.0,4.52,4.44,4.52
XRX,1962-02-26,0.0,4.47,4.42,4.42
XRX,1962-02-27,0.0,4.39,4.34,4.35
XRX,1962-02-28,0.0,4.36,4.27,4.27
XRX,1962-03-01,0.0,4.3,4.25,4.25
XRX,1962-03-02,0.0,4.3,4.28,4.3
XRX,1962-03-05,0.0,4.35,4.3,4.35
XRX,1962-03-06,0.0,4.35,4.3,4.3
XRX,1962-03-07,0.0,4.3,4.22,4.22
XRX,1962-03-08,0.0,4.25,4.13,4.25
XRX,1962-03-09,0.0,4.3,4.22,4.23
XRX,1962-03-12,0.0,4.26,4.23,4.25
XRX,1962-03-13,0.0,4.31,4.23,4.31
XRX,1962-03-14,0.0,4.39,4.35,4.37
XRX,1962-03-15,0.0,4.4,4.38,4.4
XRX,1962-03-16,0.0,4.47,4.4,4.47
XRX,1962-03-19,0.0,4.47,4.42,4.44
XRX,1962-03-20,0.0,4.46,4.35,4.36
XRX,1962-03-21,0.0,4.42,4.3,4.42
XRX,1962-03-22,0.0,4.55,4.45,4.54
XRX,1962-03-23,0.0,4.68,4.59,4.66
XRX,1962-03-26,0.0,4.76,4.67,4.72
XRX,1962-03-27,0.0,4.71,4.63,4.65
XRX,1962-03-28,0.0,4.68,4.62,4.64
XRX,1962-03-29,0.0,4.65,4.61,4.63
XRX,1962-03-30,0.0,4.61,4.44,4.51
XRX,1962-04-02,0.0,4.55,4.51,4.53
XRX,1962-04-03,0.0,4.51,4.35,4.41
XRX,1962-04-04,0.0,4.46,4.27,4.27
XRX,1962-04-05,0.0,4.38,4.22,4.33
XRX,1962-04-06,0.0,4.42,4.36,4.39
XRX,1962-04-09,0.0,4.42,4.33,4.33
XRX,1962-04-10,0.0,4.33,4.28,4.32
XRX,1962-04-11,0.0,4.42,4.3,4.32
XRX,1962-04-12,0.0,4.26,4.11,4.15
XRX,1962-04-13,0.0,4.19,4.04,4.12
XRX,1962-04-16,0.0,4.27,4.17,4.26
XRX,1962-04-17,0.0,4.36,4.27,4.36
XRX,1962-04-18,0.0,4.45,4.36,4.36
XRX,1962-04-19,0.0,4.48,4.42,4.46
XRX,1962-04-23,0.0,4.49,4.45,4.46
XRX,1962-04-24,0.0,4.48,4.45,4.47
XRX,1962-04-25,0.0,4.47,4.32,4.33
XRX,1962-04-26,0.0,4.36,4.3,4.33
XRX,1962-04-27,0.0,4.38,4.13,4.19
XRX,1962-04-30,0.0,4.27,4.1,4.14
XRX,1962-05-01,0.0,4.24,3.95,4.23
XRX,1962-05-02,0.0,4.31,4.22,4.25
XRX,1962-05-03,0.0,4.3,4.25,4.3
XRX,1962-05-04,0.0,4.3,4.22,4.29
XRX,1962-05-07,0.0,4.32,4.27,4.29
XRX,1962-05-08,0.0,4.26,4.11,4.11
XRX,1962-05-09,0.0,4.23,4.01,4.04
XRX,1962-05-10,0.0,4.16,4.01,4.13
XRX,1962-05-11,0.0,4.21,4.04,4.06
XRX,1962-05-14,0.0,4.05,3.81,4.01
XRX,1962-05-15,0.0,4.12,4.01,4.02
XRX,1962-05-16,0.0,4.05,3.84,3.86
XRX,1962-05-17,0.0,3.84,3.59,3.63
XRX,1962-05-18,0.0,3.73,3.59,3.73
XRX,1962-05-21,0.0,3.76,3.67,3.7
XRX,1962-05-22,0.0,3.69,3.48,3.51
XRX,1962-05-23,0.0,3.5,3.22,3.22
XRX,1962-05-24,0.0,3.37,3.11,3.15
XRX,1962-05-25,0.0,3.37,3.15,3.33
XRX,1962-05-28,0.0,3.48,3.22,3.23
XRX,1962-05-29,0.0,3.57,3.1,3.56
XRX,1962-05-31,0.0,3.59,3.4,3.51
XRX,1962-06-01,0.0,3.43,3.3,3.32
XRX,1962-06-04,0.0,3.29,3.09,3.09
XRX,1962-06-05,0.0,3.19,2.99,3.13
XRX,1962-06-06,0.0,3.31,3.17,3.17
XRX,1962-06-07,0.0,3.27,3.18,3.27
